stdg_Cd,bjd_Nm,bould_Exist_Area,cobbles_Exist_Area,etc_Area,gravels_Exist_Area,gravels_None_Area,pebble_Exist_Area,rock_Exist_Area,rock_Many_Area,stone_Exist_Area,stonebould_Exist_Area
2771031024,대구광역시 달성군 가창면 냉천리,0,21,2,183,72,0,94,0,3,0
2771031026,대구광역시 달성군 가창면 상원리,0,1,3,260,111,2,611,0,0,0
2771031028,대구광역시 달성군 가창면 대일리,0,0,5,148,96,0,271,7,20,0
4777035040,경상북도 영덕군 축산면 대곡리,0,3,4,514,110,15,260,0,28,0
4136034026,경기도 남양주시 수동면 입석리,0,36,21,330,82,0,599,0,0,0
4136034027,경기도 남양주시 수동면 송천리,3,4,22,603,75,0,151,0,0,0
4136036000,경기도 남양주시 조안면,66,127,755,1831,390,0,1930,0,0,0
4136036021,경기도 남양주시 조안면 능내리,28,17,274,248,42,0,169,0,0,0
4136036022,경기도 남양주시 조안면 조안리,11,18,178,362,55,0,185,0,0,0
4136036023,경기도 남양주시 조안면 진중리,15,13,72,363,65,0,525,0,0,0
4136036025,경기도 남양주시 조안면 삼봉리,6,46,94,216,82,0,452,0,0,0
4136036026,경기도 남양주시 조안면 시우리,5,17,3,499,40,0,307,0,0,0
4729010100,경상북도 경산시 삼남동,0,0,1,5,8,0,0,0,0,0
4729010300,경상북도 경산시 서상동,0,0,3,15,1,0,0,0,0,0
4729010400,경상북도 경산시 신교동,0,0,0,2,7,0,0,0,0,0
4729010600,경상북도 경산시 백천동,0,2,6,82,86,8,78,0,0,0
4817044026,경상남도 진주시 명석면 신기리,0,0,13,264,62,0,270,0,0,0
4817044028,경상남도 진주시 명석면 오미리,0,0,35,705,128,0,32,0,0,0
4817044029,경상남도 진주시 명석면 가화리,0,0,1,529,68,0,8,0,0,0
4817044031,경상남도 진주시 명석면 우수리,0,0,3,329,77,0,10,0,0,0
4817045000,경상남도 진주시 대평면,0,0,903,2400,667,0,129,0,0,0
4817044024,경상남도 진주시 명석면 덕곡리,0,0,4,379,76,0,6,0,0,0
1156011300,서울특별시 영등포구 당산동3가,0,0,0,0,37,0,0,0,0,0
1171010200,서울특별시 송파구 신천동,0,0,249,15,171,0,0,0,0,0
1171010300,서울특별시 송파구 풍납동,0,0,42,0,194,0,0,0,0,0
4679037035,전라남도 화순군 도암면 행산리,0,0,0,20,6,0,28,83,0,0
4679038000,전라남도 화순군 이서면,38,0,645,1225,462,0,2940,0,0,0
4679038022,전라남도 화순군 이서면 월산리,0,0,126,106,23,0,306,0,0,0
4679038023,전라남도 화순군 이서면 보산리,0,0,187,108,0,0,333,0,0,0
4679033026,전라남도 화순군 청풍면 백운리,0,0,15,147,96,0,0,370,0,0
4679033027,전라남도 화순군 청풍면 청용리,0,0,1,165,34,0,89,155,0,0
4679033028,전라남도 화순군 청풍면 이만리,0,0,0,124,42,0,195,554,0,0
4679033030,전라남도 화순군 청풍면 신리,0,0,22,125,73,0,223,0,0,0
4679033031,전라남도 화순군 청풍면 차리,0,0,5,91,57,0,63,17,0,0
4679034021,전라남도 화순군 이양면 금능리,0,0,21,90,87,0,0,7,0,0
4679036031,전라남도 화순군 도곡면 죽청리,0,0,24,118,62,0,12,0,0,0
4679036032,전라남도 화순군 도곡면 원화리,0,0,7,289,26,0,53,3,0,0
4729025340,경상북도 경산시 진량읍 대원리,0,0,1,22,33,0,23,0,0,0
4729025341,경상북도 경산시 진량읍 속초리,0,0,5,112,72,0,0,0,0,0
4729025342,경상북도 경산시 진량읍 안촌리,0,0,3,68,51,0,5,0,0,0
4729025343,경상북도 경산시 진량읍 황제리,0,0,6,55,41,0,3,0,0,0
4729025345,경상북도 경산시 진량읍 가야리,0,0,3,6,85,0,0,0,0,0
4729031000,경상북도 경산시 와촌면,120,17,208,1462,1571,33,1214,140,1,0
4729031022,경상북도 경산시 와촌면 덕촌리,0,0,5,3,103,0,23,0,0,0
4822035024,경상남도 통영시 욕지면 노대리,0,0,47,156,0,0,11,0,0,0
4822036000,경상남도 통영시 한산면,11,0,98,2085,452,0,286,54,0,0
4822036021,경상남도 통영시 한산면 두억리,0,0,9,393,60,0,13,0,0,0
4822036023,경상남도 통영시 한산면 창좌리,0,0,9,331,27,0,22,0,0,0
1156011700,서울특별시 영등포구 당산동,0,0,23,0,58,0,0,0,0,0
1156011800,서울특별시 영등포구 도림동,0,0,3,20,35,0,0,0,0,0
1156012100,서울특별시 영등포구 문래동3가,0,0,0,4,63,0,0,0,0,0
1156012200,서울특별시 영등포구 문래동4가,0,0,3,0,15,0,0,0,0,0
1156012400,서울특별시 영등포구 문래동6가,0,0,8,0,24,0,0,0,0,0
1156012700,서울특별시 영등포구 양평동3가,0,0,6,0,42,0,0,0,0,0
1156012800,서울특별시 영등포구 양평동4가,0,0,0,0,37,0,0,0,0,0
1156012900,서울특별시 영등포구 양평동5가,0,0,0,0,22,0,0,0,0,0
1156013000,서울특별시 영등포구 양평동6가,0,0,0,0,13,0,0,0,0,0
1168011000,서울특별시 강남구 압구정동,0,0,126,42,102,0,0,0,0,0
4782036033,경상북도 청도군 금천면 김전리,0,0,21,323,64,0,416,0,0,0
4782036034,경상북도 청도군 금천면 갈지리,0,0,6,170,95,0,113,0,0,0
4784038035,경상북도 성주군 초전면 문덕리,0,0,6,57,322,9,0,0,0,0
4784038036,경상북도 성주군 초전면 자양리,0,0,4,167,145,7,34,0,0,0
4784038038,경상북도 성주군 초전면 월곡리,38,3,14,571,389,6,331,0,15,0
4784038039,경상북도 성주군 초전면 소성리,5,0,24,415,217,11,238,13,24,0
4136025624,경기도 남양주시 화도읍 구암리,0,14,51,382,62,0,95,0,0,0
4136025625,경기도 남양주시 화도읍 금남리,0,19,148,403,151,0,334,0,0,0
4136025627,경기도 남양주시 화도읍 월산리,0,37,3,346,62,0,0,0,0,0
4136025628,경기도 남양주시 화도읍 창현리,8,11,18,369,108,4,142,0,0,0
4136025630,경기도 남양주시 화도읍 차산리,11,62,10,602,128,0,135,0,0,0
4136031000,경기도 남양주시 별내면,6,68,22,1388,330,26,0,389,0,0
4688040032,전라남도 장성군 북하면 신성리,0,1,13,388,27,0,1327,7,5,0
4689000000,전라남도 완도군,177,31,1745,19148,4934,0,7168,5182,0,0
4688036021,전라남도 장성군 황룡면 월평리,0,0,19,85,141,0,0,0,36,0
4688036023,전라남도 장성군 황룡면 옥정리,0,0,29,105,82,0,0,0,45,0
4688036024,전라남도 장성군 황룡면 황룡리,0,0,42,31,159,0,0,0,0,0
4688036025,전라남도 장성군 황룡면 신호리,0,0,28,1,196,0,0,0,0,0
2871031024,인천광역시 강화군 선원면 신정리,0,0,3,78,123,0,0,0,0,0
2871025021,인천광역시 강화군 강화읍 신문리,0,0,0,30,31,0,24,0,0,0
2826010500,인천광역시 서구 공촌동,0,0,4,381,67,0,0,0,0,0
2826010600,인천광역시 서구 연희동,0,0,6,50,222,0,0,0,0,0
2826010700,인천광역시 서구 심곡동,0,0,1,161,51,0,0,0,0,0
2826010800,인천광역시 서구 가정동,0,0,0,215,217,0,0,0,0,0
2826011000,인천광역시 서구 석남동,0,0,0,155,380,0,0,0,0,0
2826011200,인천광역시 서구 가좌동,0,0,12,264,613,0,0,0,0,0
2826011400,인천광역시 서구 당하동,0,0,4,203,312,0,0,0,0,0
2826011500,인천광역시 서구 원당동,0,0,6,114,216,0,0,0,0,0
2826011800,인천광역시 서구 금곡동,0,0,4,223,208,0,0,0,0,0
2811012000,인천광역시 중구 송학동2가,0,0,0,3,1,0,0,0,0,0
