stdg_Cd,bjd_Nm,etc_Area,excespoor_Drain_Area,exceswell_Drain_Area,moderpoor_Drain_Area,moderwell_Drain_Area,poor_Drain_Area,well_Drain_Area
4471025000,충청남도 금산군 금산읍,37,8,478,353,163,0,1140
4471025021,충청남도 금산군 금산읍 신대리,12,0,53,83,29,0,114
4471025022,충청남도 금산군 금산읍 중도리,3,0,28,27,1,0,72
4372036032,충청북도 보은군 수한면 광촌리,0,5,117,22,5,0,50
4372036033,충청북도 보은군 수한면 장선리,0,0,0,0,23,0,99
4372036035,충청북도 보은군 수한면 산척리,1,0,81,0,26,0,173
4372036036,충청북도 보은군 수한면 율산리,3,0,0,0,8,0,293
4372037000,충청북도 보은군 회남면,794,7,0,13,101,0,3749
4372040023,충청북도 보은군 산외면 문암리,1,0,0,13,16,0,284
4372040025,충청북도 보은군 산외면 대원리,1,0,88,2,22,0,475
4372039029,충청북도 보은군 내북면 적음리,7,0,2,14,17,0,283
4372039031,충청북도 보은군 내북면 동산리,2,10,0,0,25,0,153
4372039032,충청북도 보은군 내북면 화전리,6,0,0,0,55,0,457
4372039034,충청북도 보은군 내북면 아곡리,0,2,0,0,9,0,101
4689033022,전라남도 완도군 고금면 덕암리,4,7,18,53,8,20,134
4689033023,전라남도 완도군 고금면 도남리,129,15,16,44,7,0,282
4689033024,전라남도 완도군 고금면 청용리,23,21,262,34,9,18,429
4689033026,전라남도 완도군 고금면 봉명리,2,3,142,14,19,0,252
4689033027,전라남도 완도군 고금면 상정리,3,10,0,14,0,0,233
4689033029,전라남도 완도군 고금면 가교리,13,27,57,7,22,94,358
4689033030,전라남도 완도군 고금면 덕동리,6,0,31,2,1,14,166
4689034021,전라남도 완도군 약산면 장용리,7,0,171,33,37,15,302
4415033031,충청남도 공주시 계룡면 화헌리,7,0,7,69,32,0,32
4415032032,충청남도 공주시 탄천면 분강리,11,14,120,13,21,0,64
4415032033,충청남도 공주시 탄천면 유하리,9,35,91,13,15,0,73
4415032035,충청남도 공주시 탄천면 운곡리,0,7,149,24,2,0,71
4415032036,충청남도 공주시 탄천면 견동리,31,29,137,17,27,0,68
4415033000,충청남도 공주시 계룡면,222,13,1811,824,893,0,4629
4415033021,충청남도 공주시 계룡면 기산리,13,0,135,52,100,0,633
4415033023,충청남도 공주시 계룡면 봉명리,4,0,19,17,28,0,227
4415033025,충청남도 공주시 계룡면 내흥리,8,0,141,19,77,0,552
4415033026,충청남도 공주시 계룡면 구왕리,4,0,452,7,94,0,390
4415033028,충청남도 공주시 계룡면 하대리,61,0,146,77,47,0,364
4415033029,충청남도 공주시 계룡면 양화리,46,0,337,48,38,0,370
4477041026,충청남도 서천군 서면 신합리,12,58,76,42,5,0,126
4477041028,충청남도 서천군 서면 도둔리,76,184,105,39,20,0,171
4477040024,충청남도 서천군 비인면 칠지리,2,12,34,48,8,0,126
4477040026,충청남도 서천군 비인면 남당리,1,3,173,30,10,0,52
4477040027,충청남도 서천군 비인면 율리,0,0,130,31,10,0,171
4477039023,충청남도 서천군 종천면 종천리,11,39,283,53,44,0,154
4477039025,충청남도 서천군 종천면 장구리,10,2,2,47,118,0,78
4476043031,충청남도 부여군 세도면 사산리,72,17,216,37,98,0,69
4476044000,충청남도 부여군 석성면,42,242,1050,542,408,42,734
4690033027,전라남도 진도군 의신면 청용리,11,0,184,1,21,0,105
4690033029,전라남도 진도군 의신면 초사리,7,0,228,15,9,0,381
4690033030,전라남도 진도군 의신면 모도리,0,0,0,0,0,0,24
4690033032,전라남도 진도군 의신면 만길리,35,65,19,113,35,55,352
4690033033,전라남도 진도군 의신면 송정리,18,11,55,17,23,0,197
4690034000,전라남도 진도군 임회면,196,404,1954,254,757,14,3437
4690035025,전라남도 진도군 지산면 앵무리,50,0,13,8,40,231,198
4690034022,전라남도 진도군 임회면 삼막리,23,84,75,10,88,12,198
4372000000,충청북도 보은군,2258,434,20508,2784,5022,0,27365
4373034036,충청북도 옥천군 청성면 화성리,7,0,446,22,33,0,100
4373035000,충청북도 옥천군 청산면,274,29,4347,400,683,0,1570
4373035021,충청북도 옥천군 청산면 지전리,15,0,13,20,7,0,37
4373035023,충청북도 옥천군 청산면 교평리,25,0,135,0,32,0,97
4373035024,충청북도 옥천군 청산면 하서리,23,0,181,57,22,0,75
4373035025,충청북도 옥천군 청산면 신매리,17,19,11,43,53,0,86
4373035027,충청북도 옥천군 청산면 장위리,32,0,9,22,70,0,93
4373035028,충청북도 옥천군 청산면 한곡리,6,0,211,7,42,0,69
4373035030,충청북도 옥천군 청산면 판수리,27,7,79,48,57,0,71
4373035032,충청북도 옥천군 청산면 의지리,23,0,318,39,43,0,95
4373035033,충청북도 옥천군 청산면 예곡리,36,0,349,19,70,0,111
4415039028,충청남도 공주시 사곡면 가교리,17,0,148,38,36,0,353
4415039029,충청남도 공주시 사곡면 운암리,14,0,66,29,36,0,863
4415039031,충청남도 공주시 사곡면 월가리,6,0,0,3,65,0,755
4415039032,충청남도 공주시 사곡면 유룡리,0,0,0,10,52,0,671
4415040000,충청남도 공주시 신풍면,122,47,124,394,693,0,6639
4415040021,충청남도 공주시 신풍면 산정리,8,21,0,112,43,0,344
4415040023,충청남도 공주시 신풍면 조평리,10,0,3,6,99,0,985
4415040024,충청남도 공주시 신풍면 봉갑리,0,0,10,15,48,0,747
4415040026,충청남도 공주시 신풍면 쌍대리,1,0,16,15,52,0,851
4415040028,충청남도 공주시 신풍면 대룡리,22,0,0,34,57,0,315
4415040029,충청남도 공주시 신풍면 입동리,1,0,0,48,31,0,343
4477032035,충청남도 서천군 화양면 창외리,0,0,0,60,1,0,51
4477032037,충청남도 서천군 화양면 장상리,8,0,0,149,0,0,1
4477032038,충청남도 서천군 화양면 망월리,63,0,0,166,0,0,2
4477033000,충청남도 서천군 기산면,39,0,2,1001,36,0,1018
4477033021,충청남도 서천군 기산면 화산리,0,0,0,62,6,0,123
4477033023,충청남도 서천군 기산면 내동리,2,0,0,123,0,0,32
4477032028,충청남도 서천군 화양면 남성리,1,0,13,62,0,0,48
4477032026,충청남도 서천군 화양면 죽산리,33,0,0,103,0,0,32
4477034027,충청남도 서천군 한산면 송곡리,0,0,0,27,3,0,37
4477031030,충청남도 서천군 마서면 덕암리,0,8,0,93,11,0,170
4180036021,경기도 연천군 신서면 대광리,11,0,670,0,45,0,81
4183038023,경기도 양평군 양동면 매월리,9,0,934,88,55,0,277
4183038024,경기도 양평군 양동면 고송리,12,0,1352,35,105,0,248
4183038026,경기도 양평군 양동면 계정리,25,12,1843,112,96,0,353
4183038027,경기도 양평군 양동면 삼산리,57,4,1047,129,80,0,287
4183038028,경기도 양평군 양동면 단석리,29,0,1312,111,94,0,266
2917012300,광주광역시 북구 화암동,1,0,473,0,40,0,114
2917012400,광주광역시 북구 장등동,6,17,104,87,19,0,456
2917012500,광주광역시 북구 운정동,8,4,66,63,12,0,163
2917012600,광주광역시 북구 본촌동,1,2,19,59,10,0,73
2917012700,광주광역시 북구 일곡동,0,0,29,111,2,0,247
2917012800,광주광역시 북구 양산동,6,0,20,67,7,0,158
2917013100,광주광역시 북구 용두동,13,0,1,111,12,0,78
2917013200,광주광역시 북구 지야동,31,0,2,123,13,0,16
2917013300,광주광역시 북구 태령동,0,0,14,37,1,0,57
2917010400,광주광역시 북구 북동,0,0,0,5,13,0,0
2917010500,광주광역시 북구 임동,10,0,53,9,41,0,14
2917010600,광주광역시 북구 신안동,3,0,0,103,4,0,14
2917010700,광주광역시 북구 용봉동,6,0,0,93,2,0,210
4111100000,경기도 수원시장안구,111,101,1305,215,414,0,1188
4315033033,충청북도 제천시 수산면 도전리,1,0,3,0,10,0,125
4315033034,충청북도 제천시 수산면 율지리,23,0,39,0,3,0,203
4315033036,충청북도 제천시 수산면 서곡리,58,0,25,0,7,0,154
4315033037,충청북도 제천시 수산면 오티리,0,0,75,0,24,0,336
4315033039,충청북도 제천시 수산면 상천리,103,0,764,1,13,0,247
4315033041,충청북도 제천시 수산면 능강리,144,0,1021,0,2,0,128
4315033024,충청북도 제천시 수산면 수곡리,0,0,196,0,27,0,374
4315032035,충청북도 제천시 청풍면 도곡리,84,0,125,0,0,0,107
4315032036,충청북도 제천시 청풍면 대류리,82,0,24,0,0,0,86
4315032038,충청북도 제천시 청풍면 용곡리,227,0,180,0,1,0,120
4315032039,충청북도 제천시 청풍면 연론리,164,0,259,0,2,0,189
4315032041,충청북도 제천시 청풍면 물태리,44,0,97,0,5,0,142
4783037051,경상북도 고령군 쌍림면 월막리,9,0,364,69,32,0,79
4783037052,경상북도 고령군 쌍림면 용리,4,0,510,3,81,0,106
4471036022,충청남도 금산군 남이면 상금리,3,0,400,0,35,0,502
4471036023,충청남도 금산군 남이면 건천리,11,0,740,0,49,0,898
4479025000,충청남도 청양군 청양읍,138,22,787,571,263,0,1835
4479025021,충청남도 청양군 청양읍 읍내리,9,0,13,19,50,0,10
4479025022,충청남도 청양군 청양읍 백천리,15,3,68,60,19,0,163
4479025024,충청남도 청양군 청양읍 벽천리,30,0,96,72,24,0,107
4479025026,충청남도 청양군 청양읍 정좌리,11,0,83,83,47,0,169
4372035026,충청북도 보은군 삼승면 선곡리,1,6,188,32,33,0,172
4372035027,충청북도 보은군 삼승면 천남리,11,3,97,74,85,0,93
4372035029,충청북도 보은군 삼승면 우진리,10,19,37,19,74,0,99
4372035030,충청북도 보은군 삼승면 둔덕리,8,17,62,43,27,0,56
4372036000,충청북도 보은군 수한면,82,44,1650,324,328,0,2456
4374031035,충청북도 영동군 용산면 청화리,1,1,287,14,28,0,41
4374031037,충청북도 영동군 용산면 상용리,2,3,44,9,26,0,62
4374031039,충청북도 영동군 용산면 용산리,2,0,20,0,9,0,19
4374032000,충청북도 영동군 황간면,336,2,4652,138,721,12,3182
4374031023,충청북도 영동군 용산면 율리,29,9,505,13,47,0,280
4374039000,충청북도 영동군 양산면,325,1,4029,172,442,0,790
4374039021,충청북도 영동군 양산면 가곡리,0,0,50,58,23,0,20
4374039023,충청북도 영동군 양산면 봉곡리,39,0,173,17,67,0,73
4374039024,충청북도 영동군 양산면 죽산리,15,0,842,8,77,0,92
4374039026,충청북도 영동군 양산면 수두리,36,0,417,17,49,0,153
4374039027,충청북도 영동군 양산면 호탄리,92,0,592,4,73,0,112
4418032021,충청남도 보령시 오천면 소성리,137,0,62,18,3,34,257
4418032022,충청남도 보령시 오천면 영보리,168,13,131,38,1,35,382
4418000000,충청남도 보령시,4272,3409,13407,4889,3708,1653,27385
4418010100,충청남도 보령시 대천동,29,8,32,149,0,146,160
4418010200,충청남도 보령시 죽정동,31,0,161,70,49,0,111
4418010400,충청남도 보령시 동대동,12,0,72,43,99,0,197
4418010500,충청남도 보령시 명천동,4,43,135,22,134,0,296
4418010700,충청남도 보령시 내항동,5,26,44,125,58,42,197
4418010800,충청남도 보령시 남곡동,4,56,9,66,31,2,273
4418011000,충청남도 보령시 신흑동,150,183,67,115,15,2,476
4373034032,충청북도 옥천군 청성면 구음리,12,0,0,22,24,0,504
4373038023,충청북도 옥천군 군북면 증약리,8,0,0,38,34,0,775
4373038024,충청북도 옥천군 군북면 항곡리,0,0,0,19,5,0,223
4373038026,충청북도 옥천군 군북면 환평리,4,0,0,13,11,0,187
4373038028,충청북도 옥천군 군북면 추소리,56,0,0,18,8,0,417
4373038029,충청북도 옥천군 군북면 이평리,111,0,0,10,9,0,587
4373038031,충청북도 옥천군 군북면 소정리,44,0,0,12,5,0,434
4373038033,충청북도 옥천군 군북면 용호리,163,0,0,1,5,0,313
4373038034,충청북도 옥천군 군북면 막지리,125,0,0,14,3,0,468
