stdg_Cd,bjd_Nm,allvplain_Tpgraphy_Area,alpine_Tpgraphy_Area,diluvial_Tpgraphy_Area,etc_Area,hilly_Tpgraphy_Area,lavaplain_Tpgraphy_Area,lavaplate_Tpgraphy_Area,marnplain_Tpgraphy_Area,mount_Tpgraphy_Area,piedmont_Tpgraphy_Area,valley_Tpgraphy_Area
3171025621,울산광역시 울주군 온양읍 발리,36,0,7,8,198,0,0,0,245,54,135
3171025623,울산광역시 울주군 온양읍 망양리,27,0,29,18,127,0,0,0,151,18,84
3171025624,울산광역시 울주군 온양읍 남창리,41,0,0,16,11,0,0,5,41,4,10
4711131026,경상북도 포항시남구 대송면 송동리,11,0,0,8,2,0,0,22,115,28,42
4711131027,경상북도 포항시남구 대송면 제내리,29,0,0,19,0,0,0,48,0,0,0
4711131028,경상북도 포항시남구 대송면 옥명리,0,0,0,0,0,0,0,0,181,4,58
4711132000,경상북도 포항시남구 동해면,10,0,56,34,426,0,0,139,2673,412,637
4711132022,경상북도 포항시남구 동해면 약전리,0,0,0,0,11,0,0,31,30,4,40
4377033029,충청북도 음성군 맹동면 통동리,0,0,0,44,4,0,0,0,586,0,117
4377034000,충청북도 음성군 대소면,524,0,265,92,1374,0,0,0,55,5,1498
4377033027,충청북도 음성군 맹동면 본성리,5,0,1,1,42,0,0,0,0,0,68
4161033000,경기도 광주시 도척면,307,0,43,99,5,0,0,0,3567,460,735
4161033022,경기도 광주시 도척면 유정리,88,0,41,17,0,0,0,0,268,51,41
4159025332,경기도 화성시 봉담읍 유리,1,0,0,27,3,0,0,0,92,9,48
4159025300,경기도 화성시 봉담읍,82,0,0,124,464,0,0,0,2055,141,1414
4159025322,경기도 화성시 봉담읍 내리,16,0,0,3,25,0,0,0,313,28,161
4159025323,경기도 화성시 봉담읍 수영리,21,0,0,2,106,0,0,0,27,16,130
4159025325,경기도 화성시 봉담읍 와우리,0,0,0,0,21,0,0,0,57,0,79
4159025326,경기도 화성시 봉담읍 수기리,0,0,0,5,17,0,0,0,45,2,57
4159025328,경기도 화성시 봉담읍 왕림리,0,0,0,0,21,0,0,0,129,22,100
4159025329,경기도 화성시 봉담읍 세곡리,0,0,0,2,3,0,0,0,107,3,26
4691033024,전라남도 신안군 자은면 유천리,0,0,13,24,0,0,0,79,329,104,30
4691033025,전라남도 신안군 자은면 유각리,0,0,8,43,2,0,0,169,265,143,46
4691033026,전라남도 신안군 자은면 면전리,0,0,0,10,5,0,0,74,102,47,19
4691033028,전라남도 신안군 자은면 고장리,0,0,37,29,2,0,0,251,300,94,41
4691033029,전라남도 신안군 자은면 구영리,0,0,0,8,0,0,0,87,178,85,74
4691034021,전라남도 신안군 비금면 광대리,0,0,12,22,0,0,0,47,252,86,29
4691034022,전라남도 신안군 비금면 용소리,0,0,54,6,0,0,0,135,0,1,2
4691034024,전라남도 신안군 비금면 가산리,0,0,0,36,0,0,0,211,141,25,9
4691034025,전라남도 신안군 비금면 덕산리,0,0,0,39,0,0,0,150,171,46,7
4691034027,전라남도 신안군 비금면 구림리,0,0,0,43,0,0,0,281,63,15,1
4691034028,전라남도 신안군 비금면 신원리,0,0,0,15,0,0,0,136,84,15,5
2644010500,부산광역시 강서구 죽림동,16,0,0,35,10,0,0,132,1,0,6
2644010600,부산광역시 강서구 식만동,28,0,0,34,0,0,0,193,0,0,0
2644010700,부산광역시 강서구 죽동동,0,0,6,35,2,0,0,404,2,0,2
2644010800,부산광역시 강서구 봉림동,97,0,1,261,4,0,0,621,4,1,4
2644011000,부산광역시 강서구 화전동,0,0,0,110,0,0,0,151,68,14,15
4159036030,경기도 화성시 팔탄면 덕우리,0,0,0,0,22,0,0,9,134,2,81
4159035026,경기도 화성시 서신면 제부리,0,0,0,24,0,0,0,70,46,3,3
4159035027,경기도 화성시 서신면 홍법리,0,0,0,0,4,0,0,43,159,5,77
4159035029,경기도 화성시 서신면 매화리,0,0,7,22,28,0,0,137,80,17,75
4159035030,경기도 화성시 서신면 용두리,0,0,0,4,0,0,0,123,213,6,114
4159035032,경기도 화성시 서신면 백미리,4,0,0,12,1,0,0,72,190,10,80
4159036000,경기도 화성시 팔탄면,271,0,14,220,584,0,0,382,2039,77,1504
4159036022,경기도 화성시 팔탄면 창곡리,16,0,2,0,11,0,0,0,179,11,109
4159036023,경기도 화성시 팔탄면 기천리,10,0,0,46,0,0,0,0,289,7,132
4159036025,경기도 화성시 팔탄면 구장리,93,0,0,8,40,0,0,0,232,1,129
4159036026,경기도 화성시 팔탄면 율암리,4,0,0,25,112,0,0,0,200,18,183
4159036028,경기도 화성시 팔탄면 덕천리,0,0,0,8,38,0,0,0,142,4,83
4615038029,전라남도 순천시 낙안면 평촌리,4,0,0,3,0,0,0,0,0,47,37
4673034024,전라남도 구례군 마산면 황전리,0,0,1,21,4,0,0,0,1369,195,43
4673034025,전라남도 구례군 마산면 갑산리,1,0,123,3,0,0,0,0,30,63,35
4673035000,전라남도 구례군 광의면,185,0,190,88,0,0,0,0,1840,673,387
4673035021,전라남도 구례군 광의면 연파리,37,0,7,9,0,0,0,0,8,31,25
4673035023,전라남도 구례군 광의면 대산리,43,0,19,14,0,0,0,0,0,0,90
4673035024,전라남도 구례군 광의면 지천리,90,0,105,15,0,0,0,0,22,22,44
4673035026,전라남도 구례군 광의면 대전리,0,0,0,3,0,0,0,0,66,81,54
4673035027,전라남도 구례군 광의면 온당리,0,0,0,7,0,0,0,0,371,201,83
4673036000,전라남도 구례군 용방면,423,0,66,69,90,0,0,0,1081,450,280
4673036022,전라남도 구례군 용방면 신지리,69,0,33,16,22,0,0,0,0,1,26
4874038027,경상남도 창녕군 영산면 신제리,77,0,0,60,106,0,0,0,86,1,112
4874038028,경상남도 창녕군 영산면 월령리,303,0,0,20,68,0,0,0,1,0,33
4874039000,경상남도 창녕군 장마면,465,0,0,159,524,0,0,0,1023,30,792
4874039021,경상남도 창녕군 장마면 강리,107,0,0,17,32,0,0,0,11,0,24
4723038023,경상북도 영천시 고경면 창상리,43,0,66,15,2,0,0,0,7,4,9
4723038024,경상북도 영천시 고경면 대의리,39,0,2,15,51,0,0,0,243,14,90
4723038026,경상북도 영천시 고경면 오류리,0,0,0,15,33,0,0,0,423,9,152
4723038027,경상북도 영천시 고경면 고도리,1,0,0,5,15,0,0,0,313,9,98
4723038029,경상북도 영천시 고경면 용전리,61,0,18,22,77,0,0,0,493,29,195
4723038031,경상북도 영천시 고경면 상리리,3,0,21,8,23,0,0,0,165,9,95
4723038032,경상북도 영천시 고경면 학리,0,0,0,3,19,0,0,0,356,8,140
4723039039,경상북도 영천시 북안면 원당리,0,0,0,2,35,0,0,0,177,4,74
4824031025,경상남도 사천시 정동면 수청리,39,0,0,12,19,0,0,0,131,0,24
4824025021,경상남도 사천시 사천읍 선인리,52,0,0,0,30,0,0,0,12,0,26
4824025022,경상남도 사천시 사천읍 정의리,13,0,0,0,19,0,0,0,0,0,12
4824025024,경상남도 사천시 사천읍 수석리,143,0,0,2,15,0,0,0,2,0,4
4824025025,경상남도 사천시 사천읍 사주리,71,0,0,9,19,0,0,0,11,0,21
4824025027,경상남도 사천시 사천읍 중선리,140,0,0,14,0,0,0,30,0,0,0
4824025028,경상남도 사천시 사천읍 구암리,31,0,0,7,134,0,0,0,334,0,175
4824025030,경상남도 사천시 사천읍 금곡리,0,0,0,5,21,0,0,0,231,8,50
4824025031,경상남도 사천시 사천읍 두량리,42,0,0,50,75,0,0,0,357,14,141
4824031022,경상남도 사천시 정동면 예수리,44,0,0,16,57,0,0,0,81,1,66
4824031023,경상남도 사천시 정동면 화암리,54,0,0,1,35,0,0,0,82,0,48
4824025000,경상남도 사천시 사천읍,595,0,0,107,371,0,0,33,1247,31,589
4723031029,경상북도 영천시 청통면 신학리,35,0,37,8,13,0,0,0,35,0,48
4723031031,경상북도 영천시 청통면 애련리,0,0,0,10,17,0,0,0,307,17,156
4723031032,경상북도 영천시 청통면 계포리,18,0,29,9,22,0,0,0,27,4,45
4723031034,경상북도 영천시 청통면 신원리,10,0,0,18,2,0,0,0,816,129,120
4723032000,경상북도 영천시 신녕면,485,109,34,205,346,0,6,0,5233,577,1085
4723032021,경상북도 영천시 신녕면 치산리,2,0,0,33,81,0,6,0,1488,255,146
4723032023,경상북도 영천시 신녕면 화서리,1,0,0,6,14,0,0,0,476,6,142
4723032025,경상북도 영천시 신녕면 왕산리,82,0,0,41,1,0,0,0,685,106,71
4723037031,경상북도 영천시 임고면 우항리,78,0,97,30,18,0,0,0,41,4,44
4723036025,경상북도 영천시 자양면 용산리,0,0,5,106,9,0,0,0,825,127,14
4723036028,경상북도 영천시 자양면 성곡리,0,0,5,184,78,0,0,0,315,49,26
4825025022,경상남도 김해시 진영읍 하계리,0,0,0,3,2,0,0,0,220,45,51
4825025023,경상남도 김해시 진영읍 방동리,4,0,0,2,0,0,0,0,52,21,16
4678032000,전라남도 보성군 미력면,226,0,0,143,466,0,0,0,1339,302,596
4678032021,전라남도 보성군 미력면 도개리,90,0,0,18,22,0,0,0,125,7,68
4678032022,전라남도 보성군 미력면 미력리,0,0,0,1,16,0,0,0,383,49,88
4678032024,전라남도 보성군 미력면 용정리,39,0,0,26,53,0,0,0,193,22,84
4678032025,전라남도 보성군 미력면 덕림리,50,0,0,30,112,0,0,0,42,30,57
4678032027,전라남도 보성군 미력면 초당리,1,0,0,3,58,0,0,0,126,55,89
4678033000,전라남도 보성군 겸백면,138,0,32,222,771,0,0,0,2261,702,632
4678033022,전라남도 보성군 겸백면 운림리,12,0,0,60,110,0,0,0,212,111,57
4678033023,전라남도 보성군 겸백면 은덕리,3,0,0,9,81,0,0,0,285,74,78
4711131000,경상북도 포항시남구 대송면,88,0,0,71,37,0,0,142,2350,202,373
4711131021,경상북도 포항시남구 대송면 공수리,6,0,0,1,3,0,0,27,26,0,16
4711131023,경상북도 포항시남구 대송면 홍계리,0,0,0,1,22,0,0,0,262,25,37
4711131024,경상북도 포항시남구 대송면 산여리,0,0,0,7,0,0,0,0,709,89,1
4711310300,경상북도 포항시북구 남빈동,0,0,0,0,0,0,0,6,0,0,0
4711310400,경상북도 포항시북구 상원동,0,0,0,0,0,0,0,6,0,0,0
4711125623,경상북도 포항시남구 오천읍 항사리,9,0,0,76,0,0,0,0,1669,141,18
4711133035,경상북도 포항시남구 장기면 대진리,0,0,0,7,11,0,0,25,76,11,18
4711133037,경상북도 포항시남구 장기면 학계리,14,0,0,4,25,0,0,13,93,7,23
4711133038,경상북도 포항시남구 장기면 학곡리,14,0,0,6,31,0,0,20,189,25,46
4711133040,경상북도 포항시남구 장기면 창지리,6,0,0,3,48,0,0,0,151,27,40
4687038022,전라남도 영광군 낙월면 하낙월리,0,0,0,0,3,0,0,0,48,1,4
4687038023,전라남도 영광군 낙월면 임병리,0,0,0,8,4,0,0,0,23,1,1
4687038025,전라남도 영광군 낙월면 월촌리,0,0,0,3,0,0,0,0,109,54,8
4687038026,전라남도 영광군 낙월면 신기리,0,0,0,5,0,0,0,0,150,43,8
4687038028,전라남도 영광군 낙월면 석만리,0,0,0,2,4,0,0,0,44,3,0
4161010200,경기도 광주시 쌍령동,14,0,0,13,0,0,0,0,230,31,45
4161010300,경기도 광주시 송정동,33,0,0,12,0,0,0,0,315,40,107
4161010400,경기도 광주시 회덕동,10,0,0,3,0,0,0,0,261,25,51
4161010600,경기도 광주시 목현동,4,0,0,1,0,0,0,0,736,84,61
4161010700,경기도 광주시 삼동,2,0,0,1,0,0,0,0,311,39,72
4161010900,경기도 광주시 직동,4,0,0,0,0,0,0,0,482,38,72
4161011000,경기도 광주시 태전동,80,0,0,16,0,0,0,0,279,33,80
4161011100,경기도 광주시 장지동,85,0,0,20,0,0,0,0,139,3,110
4161011300,경기도 광주시 목동,19,0,0,3,0,0,0,0,436,75,67
4721035030,경상북도 영주시 안정면 옹암리,0,0,0,0,10,0,0,0,99,0,90
4723012100,경상북도 영천시 녹전동,40,0,81,18,26,0,0,0,48,5,42
4723012200,경상북도 영천시 도림동,15,0,18,15,49,0,0,0,321,6,166
4721035034,경상북도 영주시 안정면 동촌리,24,0,2,7,8,0,0,0,147,6,121
4721034026,경상북도 영주시 장수면 소룡리,45,0,0,7,0,0,0,0,206,0,160
4721034027,경상북도 영주시 장수면 호문리,55,0,0,8,0,0,0,0,245,0,172
4721034028,경상북도 영주시 장수면 파지리,0,0,0,0,0,0,0,0,121,0,81
4721035021,경상북도 영주시 안정면 신전리,48,0,0,8,4,0,0,0,33,6,38
4721035023,경상북도 영주시 안정면 봉암리,0,0,0,1,6,0,0,0,139,16,110
4721035024,경상북도 영주시 안정면 용산리,12,0,0,0,30,0,0,0,295,108,170
4721035026,경상북도 영주시 안정면 묵리,26,0,0,4,0,0,0,0,194,0,118
4721035027,경상북도 영주시 안정면 내줄리,84,0,0,20,1,0,0,0,129,7,106
4678033027,전라남도 보성군 겸백면 남양리,48,0,20,21,81,0,0,0,156,45,102
4678033028,전라남도 보성군 겸백면 사곡리,2,0,6,3,49,0,0,0,183,70,44
4775025021,경상북도 청송군 청송읍 월막리,39,0,0,23,2,0,0,0,228,49,17
4113100000,경기도 성남시수정구,551,0,135,109,0,0,0,0,2621,162,960
4113110100,경기도 성남시수정구 신흥동,0,0,0,2,0,0,0,0,120,1,55
4113110300,경기도 성남시수정구 수진동,20,0,0,3,0,0,0,0,55,0,48
4113110400,경기도 성남시수정구 단대동,0,0,0,0,0,0,0,0,42,0,38
4113110600,경기도 성남시수정구 양지동,0,0,0,0,0,0,0,0,104,0,22
4113110700,경기도 성남시수정구 복정동,45,0,0,11,0,0,0,0,173,8,142
4113110900,경기도 성남시수정구 신촌동,55,0,0,5,0,0,0,0,10,0,10
4113111000,경기도 성남시수정구 오야동,62,0,0,10,0,0,0,0,25,7,14
4711132023,경상북도 포항시남구 동해면 금광리,0,0,0,3,80,0,0,4,203,27,90
4711132025,경상북도 포항시남구 동해면 석리,0,0,0,1,15,0,0,0,147,37,17
4711132026,경상북도 포항시남구 동해면 임곡리,0,0,0,0,62,0,0,7,67,32,26
4711132028,경상북도 포항시남구 동해면 마산리,0,0,0,1,11,0,0,2,172,31,9
4711132030,경상북도 포항시남구 동해면 중흥리,0,0,0,1,0,0,0,0,352,42,15
4711132031,경상북도 포항시남구 동해면 발산리,3,0,0,8,13,0,0,3,569,62,15
4711125624,경상북도 포항시남구 오천읍 진전리,0,0,0,43,0,0,0,0,1228,81,9
4711125625,경상북도 포항시남구 오천읍 갈평리,16,0,0,27,13,0,0,0,744,157,26
4711125627,경상북도 포항시남구 오천읍 용산리,24,0,0,14,28,0,0,0,185,13,43
4711125628,경상북도 포항시남구 오천읍 광명리,0,0,10,2,76,0,0,0,145,11,82
4711125630,경상북도 포항시남구 오천읍 용덕리,74,0,44,7,0,0,0,0,0,0,73
4687037030,전라남도 영광군 법성면 용덕리,5,0,0,4,120,0,0,16,24,28,91
4687037031,전라남도 영광군 법성면 삼당리,0,0,0,14,113,0,0,129,18,0,41
4687038000,전라남도 영광군 낙월면,0,0,0,59,59,0,0,0,823,194,26
4377032029,충청북도 음성군 원남면 주봉리,7,0,0,13,20,0,0,0,287,31,128
4377032030,충청북도 음성군 원남면 문암리,0,0,0,4,112,0,0,0,205,11,253
4377032031,충청북도 음성군 원남면 조촌리,53,0,0,87,3,0,0,0,944,4,172
4377032033,충청북도 음성군 원남면 덕정리,0,0,0,0,3,0,0,0,454,24,110
4377033021,충청북도 음성군 맹동면 쌍정리,38,0,10,3,86,0,0,0,103,0,128
4377033022,충청북도 음성군 맹동면 인곡리,0,0,0,1,75,0,0,0,151,5,132
4377033024,충청북도 음성군 맹동면 봉현리,49,0,32,8,78,0,0,0,0,0,100
4377033026,충청북도 음성군 맹동면 신돈리,0,0,0,1,53,0,0,0,0,0,65
4161033023,경기도 광주시 도척면 방도리,0,0,0,0,5,0,0,0,340,18,192
4420041023,충청남도 아산시 신창면 창암리,46,0,0,3,107,0,0,0,89,10,114
4420041024,충청남도 아산시 신창면 황산리,17,0,0,0,38,0,0,0,94,24,80
4420041025,충청남도 아산시 신창면 행목리,0,0,0,4,177,0,0,0,7,1,135
4420041027,충청남도 아산시 신창면 신달리,0,0,1,22,44,0,0,147,8,2,27
4420041028,충청남도 아산시 신창면 남성리,27,0,8,3,214,0,0,50,0,11,160
4420041030,충청남도 아산시 신창면 가덕리,0,0,0,36,81,0,0,146,6,15,69
4420041031,충청남도 아산시 신창면 신곡리,0,0,0,25,56,0,0,120,0,1,45
4421000000,충청남도 서산시,2089,0,2511,3988,19662,0,0,12265,12273,3222,14793
4421010100,충청남도 서산시 읍내동,0,0,0,7,65,0,0,0,61,12,87
4421010200,충청남도 서산시 동문동,27,0,34,0,140,0,0,0,3,0,104
4131010700,경기도 구리시 토평동,369,0,0,220,0,0,0,0,0,0,0
4159025331,경기도 화성시 봉담읍 마하리,2,0,0,3,21,0,0,0,44,0,49
4691034030,전라남도 신안군 비금면 죽림리,0,0,0,43,0,0,0,236,213,31,6
2644011100,부산광역시 강서구 녹산동,0,0,0,71,3,0,0,122,260,37,35
2644011300,부산광역시 강서구 구랑동,28,0,0,8,34,0,0,20,256,63,83
2644011400,부산광역시 강서구 지사동,0,0,0,22,0,0,0,0,865,256,86
2644011600,부산광역시 강서구 범방동,15,0,0,46,9,0,0,213,99,28,23
2644011700,부산광역시 강서구 신호동,0,0,0,366,0,0,0,42,0,0,0
4159036029,경기도 화성시 팔탄면 지월리,64,0,0,6,8,0,0,0,99,0,29
4159035025,경기도 화성시 서신면 송교리,0,0,0,26,52,0,0,128,61,3,61
4159034024,경기도 화성시 송산면 용포리,0,0,0,24,27,0,0,152,52,0,32
4159034025,경기도 화성시 송산면 고정리,0,0,0,148,139,0,0,248,35,1,100
4159034027,경기도 화성시 송산면 천등리,0,0,0,3,11,0,0,0,113,3,97
4159034028,경기도 화성시 송산면 신천리,0,0,0,10,32,0,0,75,49,4,55
4159034030,경기도 화성시 송산면 마산리,0,0,0,8,54,0,0,96,109,0,97
4159034031,경기도 화성시 송산면 고포리,0,0,0,16,80,0,0,59,124,4,76
4159034033,경기도 화성시 송산면 중송리,0,0,0,5,25,0,0,78,110,1,67
4159034034,경기도 화성시 송산면 육일리,0,0,0,0,46,0,0,0,64,6,96
4159035000,경기도 화성시 서신면,40,0,10,251,160,0,0,991,1828,160,892
4159035021,경기도 화성시 서신면 전곡리,0,0,0,60,12,0,0,119,349,28,101
4882025021,경상남도 고성군 고성읍 성내리,0,0,0,0,13,0,0,0,0,0,2
4882025022,경상남도 고성군 고성읍 서외리,0,0,0,0,22,0,0,19,0,0,7
4882025024,경상남도 고성군 고성읍 동외리,0,0,0,0,14,0,0,43,38,7,28
4882025025,경상남도 고성군 고성읍 송학리,14,0,0,7,21,0,0,123,0,0,23
4615038028,전라남도 순천시 낙안면 옥산리,3,0,2,3,11,0,0,0,22,32,61
4673034022,전라남도 구례군 마산면 광평리,35,0,1,13,3,0,0,0,123,28,94
4681031021,전라남도 강진군 군동면 파산리,5,0,23,14,69,0,0,0,261,49,173
4681031023,전라남도 강진군 군동면 라천리,133,0,29,4,14,0,0,0,110,33,44
4681031025,전라남도 강진군 군동면 화산리,1,0,20,15,114,0,0,0,552,90,159
4681031026,전라남도 강진군 군동면 용소리,25,0,0,34,53,0,0,0,378,43,115
4681031028,전라남도 강진군 군동면 장산리,30,0,6,17,8,0,0,0,450,83,86
4681031029,전라남도 강진군 군동면 덕천리,74,0,0,61,22,0,0,0,281,73,45
4681031031,전라남도 강진군 군동면 쌍덕리,39,0,0,5,54,0,0,0,22,7,66
4681031032,전라남도 강진군 군동면 금사리,0,0,0,22,23,0,0,0,428,49,76
