stdg_Cd,bjd_Nm,allcolluvm_Layer_Area,alluvm_Layer_Area,colluvm_Layer_Area,diluvm_Layer_Area,etc_Area,residum_Layer_Area
4723025036,경상북도 영천시 금호읍 오계리,31,15,0,88,11,80
4889041000,경상남도 합천군 대양면,993,125,116,5,177,4283
4889041021,경상남도 합천군 대양면 정양리,43,13,7,0,91,246
4889041022,경상남도 합천군 대양면 아천리,66,8,0,0,33,306
4889041024,경상남도 합천군 대양면 무곡리,137,10,54,0,13,526
4889041025,경상남도 합천군 대양면 덕정리,76,30,9,5,9,267
4825033025,경상남도 김해시 진례면 신안리,58,37,128,7,24,545
4825033026,경상남도 김해시 진례면 산본리,83,22,123,0,13,323
4825033027,경상남도 김해시 진례면 신월리,26,82,33,0,4,93
4825033029,경상남도 김해시 진례면 담안리,66,47,135,67,13,107
4825034000,경상남도 김해시 한림면,797,1376,466,11,527,2748
4825034021,경상남도 김해시 한림면 명동리,120,3,62,0,11,252
4825034023,경상남도 김해시 한림면 병동리,125,38,58,0,11,302
4418039025,충청남도 보령시 미산면 늑전리,61,0,18,0,16,331
4418039026,충청남도 보령시 미산면 도흥리,85,0,40,0,0,793
4418039027,충청남도 보령시 미산면 봉성리,65,0,26,0,6,275
4418039029,충청남도 보령시 미산면 은현리,61,0,8,0,0,192
4418039030,충청남도 보령시 미산면 내평리,61,0,10,0,4,269
4423033026,충청남도 논산시 노성면 죽림리,125,9,2,51,0,88
4423032024,충청남도 논산시 광석면 갈산리,115,167,0,0,0,81
4423032025,충청남도 논산시 광석면 광리,20,103,0,0,0,11
4423032027,충청남도 논산시 광석면 산동리,0,244,0,0,0,0
4423032029,충청남도 논산시 광석면 왕전리,76,130,0,0,3,67
4423032030,충청남도 논산시 광석면 항월리,114,51,0,0,7,119
4717035030,경상북도 안동시 일직면 조탑리,100,32,39,0,33,505
4717034027,경상북도 안동시 풍천면 금계리,83,44,37,0,8,577
4717034028,경상북도 안동시 풍천면 구호리,24,19,72,0,12,380
4717034029,경상북도 안동시 풍천면 어담리,222,21,140,0,8,1234
4717034031,경상북도 안동시 풍천면 가곡리,133,90,0,0,21,178
4717034033,경상북도 안동시 풍천면 하회리,121,67,15,18,95,255
4717035000,경상북도 안동시 일직면,1103,679,531,5,341,5911
4717035021,경상북도 안동시 일직면 귀미리,63,95,63,3,64,537
4717035023,경상북도 안동시 일직면 망호리,60,80,64,2,14,189
4723010100,경상북도 영천시 조교동,0,56,0,138,36,0
4723010300,경상북도 영천시 야사동,48,4,1,71,5,112
4723010500,경상북도 영천시 문외동,14,4,0,15,0,30
4721035032,경상북도 영주시 안정면 대평리,52,33,9,0,7,57
4721035033,경상북도 영주시 안정면 오계리,195,59,16,6,7,268
4777032042,경상북도 영덕군 남정면 사암리,38,2,96,0,3,839
4687037026,전라남도 영광군 법성면 입암리,9,52,59,0,22,218
4687037028,전라남도 영광군 법성면 월산리,78,59,9,0,10,184
4678033026,전라남도 보성군 겸백면 용산리,105,0,18,0,32,286
4688040030,전라남도 장성군 북하면 동현리,3,1,39,0,101,194
4688025036,전라남도 장성군 장성읍 용곡리,0,0,40,0,147,415
3171025600,울산광역시 울주군 온양읍,770,335,817,40,124,4363
3171025621,울산광역시 울주군 온양읍 발리,92,37,96,7,8,444
3171025623,울산광역시 울주군 온양읍 망양리,62,30,37,29,18,278
3171025624,울산광역시 울주군 온양읍 남창리,10,46,4,0,16,52
4711131026,경상북도 포항시남구 대송면 송동리,42,33,28,0,8,118
4711131027,경상북도 포항시남구 대송면 제내리,0,77,0,0,19,0
4711131028,경상북도 포항시남구 대송면 옥명리,60,0,2,0,0,181
4711132000,경상북도 포항시남구 동해면,704,248,321,56,34,3022
4711132022,경상북도 포항시남구 동해면 약전리,42,31,1,0,0,41
4377033029,충청북도 음성군 맹동면 통동리,117,0,0,0,44,590
4377034000,충청북도 음성군 대소면,1428,594,5,265,92,1431
4377033027,충청북도 음성군 맹동면 본성리,64,9,0,1,1,42
4161033000,경기도 광주시 도척면,650,412,440,43,99,3572
4161033022,경기도 광주시 도척면 유정리,41,90,48,41,17,268
4159025332,경기도 화성시 봉담읍 유리,36,13,9,0,27,95
4159025300,경기도 화성시 봉담읍,1132,364,141,0,124,2521
4159025322,경기도 화성시 봉담읍 내리,126,53,28,0,3,338
4159025323,경기도 화성시 봉담읍 수영리,99,52,16,0,2,133
4159025325,경기도 화성시 봉담읍 와우리,59,20,0,0,0,77
4159025326,경기도 화성시 봉담읍 수기리,53,4,2,0,5,62
4159025328,경기도 화성시 봉담읍 왕림리,85,16,22,0,0,150
4159025329,경기도 화성시 봉담읍 세곡리,14,13,3,0,2,110
4691033024,전라남도 신안군 자은면 유천리,33,93,102,0,24,329
4691033025,전라남도 신안군 자은면 유각리,43,182,141,0,43,267
4691033026,전라남도 신안군 자은면 면전리,20,74,46,0,10,106
4691033028,전라남도 신안군 자은면 고장리,40,288,93,0,29,302
4691033029,전라남도 신안군 자은면 구영리,50,112,85,0,8,178
4691034021,전라남도 신안군 비금면 광대리,29,58,85,0,22,252
4691034022,전라남도 신안군 비금면 용소리,2,189,1,0,6,0
4691034024,전라남도 신안군 비금면 가산리,9,211,25,0,36,141
4691034025,전라남도 신안군 비금면 덕산리,4,153,46,0,39,171
4691034027,전라남도 신안군 비금면 구림리,1,281,15,0,43,63
4691034028,전라남도 신안군 비금면 신원리,5,136,15,0,15,84
2644010500,부산광역시 강서구 죽림동,6,148,0,0,35,11
2644010600,부산광역시 강서구 식만동,0,221,0,0,34,0
2644010700,부산광역시 강서구 죽동동,2,404,0,6,35,4
2644010800,부산광역시 강서구 봉림동,4,718,1,1,261,8
2644011000,부산광역시 강서구 화전동,15,151,14,0,110,68
4159036030,경기도 화성시 팔탄면 덕우리,80,9,2,0,0,156
4159035026,경기도 화성시 서신면 제부리,3,70,3,0,24,46
4159035027,경기도 화성시 서신면 홍법리,71,50,5,0,0,164
4159035029,경기도 화성시 서신면 매화리,50,163,17,7,22,108
4159035030,경기도 화성시 서신면 용두리,93,144,6,0,4,213
4159035032,경기도 화성시 서신면 백미리,75,81,10,0,12,191
4159036000,경기도 화성시 팔탄면,1301,857,77,14,220,2624
4159036022,경기도 화성시 팔탄면 창곡리,100,25,11,2,0,191
4159036023,경기도 화성시 팔탄면 기천리,73,70,7,0,46,289
4159036025,경기도 화성시 팔탄면 구장리,119,104,1,0,8,272
4159036026,경기도 화성시 팔탄면 율암리,136,50,18,0,25,310
4159036028,경기도 화성시 팔탄면 덕천리,79,4,4,0,8,181
4615038029,전라남도 순천시 낙안면 평촌리,8,33,47,0,3,0
4673034024,전라남도 구례군 마산면 황전리,51,22,165,1,21,1373
4673034025,전라남도 구례군 마산면 갑산리,36,1,63,123,3,30
4673035000,전라남도 구례군 광의면,266,353,628,190,88,1840
4673035021,전라남도 구례군 광의면 연파리,8,55,31,7,9,8
4673035023,전라남도 구례군 광의면 대산리,10,124,0,19,14,0
4673035024,전라남도 구례군 광의면 지천리,57,90,9,105,15,22
4673035026,전라남도 구례군 광의면 대전리,32,21,81,0,3,66
4673035027,전라남도 구례군 광의면 온당리,64,33,187,0,7,371
4673036000,전라남도 구례군 용방면,299,517,338,66,69,1172
4673036022,전라남도 구례군 용방면 신지리,26,69,1,33,16,22
4874038027,경상남도 창녕군 영산면 신제리,113,77,1,0,60,192
4874038028,경상남도 창녕군 영산면 월령리,33,303,0,0,20,69
4874039000,경상남도 창녕군 장마면,793,465,29,0,159,1548
4874039021,경상남도 창녕군 장마면 강리,24,107,0,0,17,43
4723038023,경상북도 영천시 고경면 창상리,9,43,4,66,15,10
4723038024,경상북도 영천시 고경면 대의리,90,39,14,2,15,294
4723038026,경상북도 영천시 고경면 오류리,152,0,9,0,15,456
4723038027,경상북도 영천시 고경면 고도리,98,1,9,0,5,328
4723038029,경상북도 영천시 고경면 용전리,192,61,32,18,22,570
4723038031,경상북도 영천시 고경면 상리리,92,6,9,21,8,188
4723038032,경상북도 영천시 고경면 학리,140,0,8,0,3,375
4723039039,경상북도 영천시 북안면 원당리,74,0,4,0,2,212
4824031025,경상남도 사천시 정동면 수청리,24,39,0,0,12,150
4824025021,경상남도 사천시 사천읍 선인리,26,52,0,0,0,42
4824025022,경상남도 사천시 사천읍 정의리,12,13,0,0,0,19
4824025024,경상남도 사천시 사천읍 수석리,4,143,0,0,2,17
4824025025,경상남도 사천시 사천읍 사주리,21,71,0,0,9,30
4824025027,경상남도 사천시 사천읍 중선리,0,170,0,0,14,0
4824025028,경상남도 사천시 사천읍 구암리,170,31,5,0,7,469
4824025030,경상남도 사천시 사천읍 금곡리,44,0,14,0,5,252
4824025031,경상남도 사천시 사천읍 두량리,136,42,19,0,50,432
4824031022,경상남도 사천시 정동면 예수리,66,44,1,0,16,138
4824031023,경상남도 사천시 정동면 화암리,48,54,0,0,1,117
4824025000,경상남도 사천시 사천읍,564,629,57,0,107,1618
4723031029,경상북도 영천시 청통면 신학리,48,35,0,37,8,49
4723031031,경상북도 영천시 청통면 애련리,130,27,17,0,10,324
4723031032,경상북도 영천시 청통면 계포리,40,23,4,29,9,49
4723031034,경상북도 영천시 청통면 신원리,82,47,129,0,18,818
4723032000,경상북도 영천시 신녕면,969,619,559,34,205,5695
4723032021,경상북도 영천시 신녕면 치산리,109,49,245,0,33,1575
4723032023,경상북도 영천시 신녕면 화서리,142,1,6,0,6,490
4723032025,경상북도 영천시 신녕면 왕산리,52,102,105,0,41,686
4723037031,경상북도 영천시 임고면 우항리,25,97,4,97,30,59
4723036025,경상북도 영천시 자양면 용산리,11,3,127,5,106,832
4723036028,경상북도 영천시 자양면 성곡리,30,0,45,5,184,393
4825025022,경상남도 김해시 진영읍 하계리,37,0,59,0,3,222
4825025023,경상남도 김해시 진영읍 방동리,16,4,21,0,2,52
4678032000,전라남도 보성군 미력면,527,352,244,0,143,1806
4678032021,전라남도 보성군 미력면 도개리,44,114,7,0,18,147
4678032022,전라남도 보성군 미력면 미력리,87,6,43,0,1,399
4678032024,전라남도 보성군 미력면 용정리,76,48,21,0,26,246
4678032025,전라남도 보성군 미력면 덕림리,66,50,21,0,30,154
4678032027,전라남도 보성군 미력면 초당리,75,39,31,0,3,184
4678033000,전라남도 보성군 겸백면,755,151,566,32,222,3031
4678033022,전라남도 보성군 겸백면 운림리,107,12,61,0,60,322
4678033023,전라남도 보성군 겸백면 은덕리,82,3,70,0,9,366
4711131000,경상북도 포항시남구 대송면,394,238,173,0,71,2387
4711131021,경상북도 포항시남구 대송면 공수리,16,33,0,0,1,29
4711131023,경상북도 포항시남구 대송면 홍계리,48,0,14,0,1,284
4711131024,경상북도 포항시남구 대송면 산여리,4,0,86,0,7,709
4711310300,경상북도 포항시북구 남빈동,0,6,0,0,0,0
4711310400,경상북도 포항시북구 상원동,0,6,0,0,0,0
4711125623,경상북도 포항시남구 오천읍 항사리,17,18,134,0,76,1669
4711133035,경상북도 포항시남구 장기면 대진리,19,44,10,0,7,67
4711133037,경상북도 포항시남구 장기면 학계리,23,27,7,0,4,119
4711133038,경상북도 포항시남구 장기면 학곡리,48,34,22,0,6,220
4711133040,경상북도 포항시남구 장기면 창지리,43,6,25,0,3,199
4687038022,전라남도 영광군 낙월면 하낙월리,4,0,1,0,0,51
4687038023,전라남도 영광군 낙월면 임병리,1,0,1,0,8,27
4687038025,전라남도 영광군 낙월면 월촌리,8,0,54,0,3,109
4687038026,전라남도 영광군 낙월면 신기리,8,0,43,0,5,150
4687038028,전라남도 영광군 낙월면 석만리,0,0,3,0,2,48
4161010200,경기도 광주시 쌍령동,40,20,30,0,13,230
4161010300,경기도 광주시 송정동,97,44,39,0,12,315
4161010400,경기도 광주시 회덕동,24,38,24,0,3,261
4161010600,경기도 광주시 목현동,34,34,81,0,1,736
4161010700,경기도 광주시 삼동,59,16,38,0,1,311
4161010900,경기도 광주시 직동,58,18,38,0,0,482
4161011000,경기도 광주시 태전동,76,86,30,0,16,279
4161011100,경기도 광주시 장지동,108,87,3,0,20,139
4161011300,경기도 광주시 목동,51,35,75,0,3,436
4721035030,경상북도 영주시 안정면 옹암리,87,2,0,0,0,110
4723012100,경상북도 영천시 녹전동,42,40,5,81,18,74
4723012200,경상북도 영천시 도림동,166,15,6,18,15,370
4721035034,경상북도 영주시 안정면 동촌리,120,24,6,2,7,154
4721034026,경상북도 영주시 장수면 소룡리,152,53,0,0,7,206
4721034027,경상북도 영주시 장수면 호문리,170,58,0,0,8,245
4721034028,경상북도 영주시 장수면 파지리,77,4,0,0,0,121
4721035021,경상북도 영주시 안정면 신전리,38,48,6,0,8,37
4721035023,경상북도 영주시 안정면 봉암리,102,8,16,0,1,146
4721035024,경상북도 영주시 안정면 용산리,174,13,101,0,0,325
4721035026,경상북도 영주시 안정면 묵리,107,37,0,0,4,194
4721035027,경상북도 영주시 안정면 내줄리,100,90,7,0,20,130
4678033027,전라남도 보성군 겸백면 남양리,109,48,38,20,21,237
4678033028,전라남도 보성군 겸백면 사곡리,58,2,56,6,3,232
4775025021,경상북도 청송군 청송읍 월막리,15,44,47,0,23,231
4113100000,경기도 성남시수정구,903,609,162,135,109,2621
4113110100,경기도 성남시수정구 신흥동,55,0,1,0,2,120
4113110300,경기도 성남시수정구 수진동,48,20,0,0,3,55
4113110400,경기도 성남시수정구 단대동,38,0,0,0,0,42
4113110600,경기도 성남시수정구 양지동,22,0,0,0,0,104
4113110700,경기도 성남시수정구 복정동,137,50,8,0,11,173
4113110900,경기도 성남시수정구 신촌동,10,55,0,0,5,10
4113111000,경기도 성남시수정구 오야동,12,64,7,0,10,25
4711132023,경상북도 포항시남구 동해면 금광리,93,32,24,0,3,254
4711132025,경상북도 포항시남구 동해면 석리,29,0,25,0,1,162
4711132026,경상북도 포항시남구 동해면 임곡리,29,7,29,0,0,129
4711132028,경상북도 포항시남구 동해면 마산리,15,2,26,0,1,184
4711132030,경상북도 포항시남구 동해면 중흥리,20,1,35,0,1,352
4711132031,경상북도 포항시남구 동해면 발산리,25,6,51,0,8,581
4711125624,경상북도 포항시남구 오천읍 진전리,15,2,73,0,43,1228
4711125625,경상북도 포항시남구 오천읍 갈평리,55,19,125,0,27,757
4711125627,경상북도 포항시남구 오천읍 용산리,44,25,11,0,14,214
4711125628,경상북도 포항시남구 오천읍 광명리,73,11,9,10,2,221
4711125630,경상북도 포항시남구 오천읍 용덕리,2,145,0,44,7,0
4687037030,전라남도 영광군 법성면 용덕리,89,22,28,0,4,144
4687037031,전라남도 영광군 법성면 삼당리,41,130,0,0,14,131
4687038000,전라남도 영광군 낙월면,26,0,194,0,59,882
4377032029,충청북도 음성군 원남면 주봉리,103,33,30,0,13,307
4377032030,충청북도 음성군 원남면 문암리,239,14,11,0,4,317
4377032031,충청북도 음성군 원남면 조촌리,137,88,4,0,87,947
4377032033,충청북도 음성군 원남면 덕정리,81,29,24,0,0,457
4377033021,충청북도 음성군 맹동면 쌍정리,120,46,0,10,3,190
4377033022,충청북도 음성군 맹동면 인곡리,127,5,5,0,1,226
4377033024,충청북도 음성군 맹동면 봉현리,89,60,0,32,8,78
4377033026,충청북도 음성군 맹동면 신돈리,57,8,0,0,1,53
4161033023,경기도 광주시 도척면 방도리,169,23,17,0,0,344
4420041023,충청남도 아산시 신창면 창암리,91,70,9,0,3,196
4420041024,충청남도 아산시 신창면 황산리,72,25,24,0,0,132
4420041025,충청남도 아산시 신창면 행목리,120,14,1,0,4,185
4420041027,충청남도 아산시 신창면 신달리,18,156,2,1,22,52
4420041028,충청남도 아산시 신창면 남성리,136,101,11,8,3,214
4420041030,충청남도 아산시 신창면 가덕리,56,159,15,0,36,88
4420041031,충청남도 아산시 신창면 신곡리,37,128,1,0,25,56
4421000000,충청남도 서산시,13268,15613,3010,2512,3988,32412
4421010100,충청남도 서산시 읍내동,80,0,11,0,7,134
4421010200,충청남도 서산시 동문동,61,27,0,34,0,186
4131010700,경기도 구리시 토평동,0,369,0,0,220,0
4159025331,경기도 화성시 봉담읍 마하리,35,16,0,0,3,65
4691034030,전라남도 신안군 비금면 죽림리,6,236,31,0,43,213
2644011100,부산광역시 강서구 녹산동,30,130,35,0,71,263
2644011300,부산광역시 강서구 구랑동,73,57,65,0,8,289
2644011400,부산광역시 강서구 지사동,68,45,229,0,22,865
2644011600,부산광역시 강서구 범방동,20,233,27,0,46,108
2644011700,부산광역시 강서구 신호동,0,42,0,0,366,0
4159036029,경기도 화성시 팔탄면 지월리,27,66,0,0,6,107
4159035025,경기도 화성시 서신면 송교리,52,139,3,0,26,111
4159034024,경기도 화성시 송산면 용포리,28,156,0,0,24,79
4159034025,경기도 화성시 송산면 고정리,64,284,1,0,148,174
4159034027,경기도 화성시 송산면 천등리,77,20,3,0,3,124
4159034028,경기도 화성시 송산면 신천리,50,81,4,0,10,81
4159034030,경기도 화성시 송산면 마산리,70,122,0,0,8,163
4159034031,경기도 화성시 송산면 고포리,38,96,4,0,16,204
4159034033,경기도 화성시 송산면 중송리,45,101,1,0,5,134
4159034034,경기도 화성시 송산면 육일리,87,9,6,0,0,110
4159035000,경기도 화성시 서신면,768,1157,158,10,251,1988
4159035021,경기도 화성시 서신면 전곡리,89,131,28,0,60,361
4882025021,경상남도 고성군 고성읍 성내리,2,0,0,0,0,13
4882025022,경상남도 고성군 고성읍 서외리,6,19,1,0,0,22
4882025024,경상남도 고성군 고성읍 동외리,25,43,10,0,0,52
4882025025,경상남도 고성군 고성읍 송학리,19,140,1,0,7,21
4615038028,전라남도 순천시 낙안면 옥산리,17,47,32,2,3,33
4673034022,전라남도 구례군 마산면 광평리,36,92,28,1,13,126
4681031021,전라남도 강진군 군동면 파산리,126,51,47,23,14,333
4681031023,전라남도 강진군 군동면 라천리,44,133,33,29,4,124
4681031025,전라남도 강진군 군동면 화산리,121,43,86,20,15,666
4681031026,전라남도 강진군 군동면 용소리,108,44,31,0,34,432
4681031028,전라남도 강진군 군동면 장산리,68,70,60,6,17,458
4681031029,전라남도 강진군 군동면 덕천리,32,106,55,0,61,303
4681031031,전라남도 강진군 군동면 쌍덕리,47,58,7,0,5,76
4681031032,전라남도 강진군 군동면 금사리,26,50,48,0,22,451
4681032000,전라남도 강진군 칠량면,537,875,404,68,137,3986
4681032022,전라남도 강진군 칠량면 동백리,57,20,66,11,2,420
4725010100,경상북도 상주시 성하동,0,5,0,0,0,0
4725010200,경상북도 상주시 성동동,0,68,0,98,2,0
4725010400,경상북도 상주시 복룡동,0,119,0,4,32,0
4725010500,경상북도 상주시 냉림동,0,71,0,0,10,0
4725010700,경상북도 상주시 남성동,5,55,0,0,0,2
4725010800,경상북도 상주시 서문동,0,21,0,0,0,0
4723039038,경상북도 영천시 북안면 관리,79,0,11,0,8,279
4725025030,경상북도 상주시 함창읍 척동리,14,53,0,0,8,11
4725025031,경상북도 상주시 함창읍 태봉리,26,129,0,9,25,22
4723039041,경상북도 영천시 북안면 반정리,120,28,3,70,27,276
4723039024,경상북도 영천시 북안면 도유리,60,0,19,0,10,241
4824012000,경상남도 사천시 늑도동,4,0,2,0,5,39
4824012100,경상남도 사천시 신수동,16,0,0,0,12,85
4824012200,경상남도 사천시 백천동,0,0,74,0,19,557
4824012500,경상남도 사천시 대포동,25,4,0,31,3,0
4824012600,경상남도 사천시 송포동,34,25,93,113,7,150
4827038024,경상남도 밀양시 무안면 화봉리,44,47,126,0,11,548
4827038026,경상남도 밀양시 무안면 양효리,40,40,48,0,7,251
4723036029,경상북도 영천시 자양면 용화리,1,12,130,0,14,1298
4723037021,경상북도 영천시 임고면 양항리,46,94,5,5,42,131
4723037023,경상북도 영천시 임고면 덕연리,53,113,14,12,32,188
4723037024,경상북도 영천시 임고면 삼매리,109,108,101,8,41,672
4723037026,경상북도 영천시 임고면 황강리,29,8,4,38,5,62
4723037027,경상북도 영천시 임고면 효리,141,49,3,78,23,388
4723037029,경상북도 영천시 임고면 사리,201,53,70,0,71,976
4723037030,경상북도 영천시 임고면 수성리,131,43,223,0,14,1539
4723036023,경상북도 영천시 자양면 충효리,10,57,152,0,86,831
4723039021,경상북도 영천시 북안면 상리,40,11,87,0,9,343
4723039022,경상북도 영천시 북안면 당리,39,34,30,0,7,148
4723036026,경상북도 영천시 자양면 신방리,111,17,49,0,7,523
4825010700,경상남도 김해시 삼계동,140,15,237,0,16,598
4825010800,경상남도 김해시 내동,53,57,90,0,14,39
4824036021,경상남도 사천시 곤명면 추천리,79,35,9,0,4,199
4824034026,경상남도 사천시 축동면 가산리,81,16,4,0,34,251
4824034027,경상남도 사천시 축동면 구호리,30,20,0,0,13,128
4824035000,경상남도 사천시 곤양면,1172,407,88,0,179,4267
4824035022,경상남도 사천시 곤양면 남문외리,26,5,0,0,4,14
4824035023,경상남도 사천시 곤양면 서정리,101,35,2,0,15,224
4824035025,경상남도 사천시 곤양면 대진리,93,96,7,0,20,418
4824036031,경상남도 사천시 곤명면 송림리,51,47,2,0,7,218
4824035028,경상남도 사천시 곤양면 흥사리,136,18,7,0,9,551
4776032034,경상북도 영양군 청기면 정족리,48,66,142,1,35,1033
4723033034,경상북도 영천시 화산면 부계리,38,2,1,9,12,108
4723012500,경상북도 영천시 쌍계동,28,27,8,14,26,87
4723012600,경상북도 영천시 도남동,10,37,0,94,18,15
4723012700,경상북도 영천시 매산동,80,120,3,47,33,182
4723012800,경상북도 영천시 언하동,25,62,2,62,17,51
4723013000,경상북도 영천시 서산동,119,32,14,36,29,421
4723025000,경상북도 영천시 금호읍,774,624,70,1118,467,2111
4723025022,경상북도 영천시 금호읍 덕성리,0,39,0,34,42,0
4723025024,경상북도 영천시 금호읍 대미리,78,0,3,51,15,208
4723025025,경상북도 영천시 금호읍 석섬리,11,0,0,72,0,29
4723025027,경상북도 영천시 금호읍 냉천리,0,91,0,66,57,0
4825032025,경상남도 김해시 주촌면 내삼리,63,46,125,20,14,426
4825034024,경상남도 김해시 한림면 신천리,72,23,74,11,7,288
4825032027,경상남도 김해시 주촌면 망덕리,38,33,10,29,8,37
4825032028,경상남도 김해시 주촌면 농소리,70,45,3,1,15,21
4825033021,경상남도 김해시 진례면 청천리,65,75,88,4,8,89
4825033023,경상남도 김해시 진례면 송정리,74,136,55,14,13,217
4825025025,경상남도 김해시 진영읍 좌곤리,24,163,35,9,17,49
4825025026,경상남도 김해시 진영읍 진영리,40,283,31,76,43,149
4825025027,경상남도 김해시 진영읍 여래리,39,9,57,25,2,156
4825025029,경상남도 김해시 진영읍 신용리,58,20,55,0,2,104
4825025031,경상남도 김해시 진영읍 내룡리,48,5,41,0,5,192
4825025032,경상남도 김해시 진영읍 죽곡리,60,24,23,0,13,109
4721035029,경상북도 영주시 안정면 안심리,50,58,0,2,11,56
4723012000,경상북도 영천시 대전동,38,64,2,27,18,78
4721037027,경상북도 영주시 순흥면 배점리,48,2,194,0,26,1265
4721037028,경상북도 영주시 순흥면 덕현리,13,0,185,0,3,844
4723012400,경상북도 영천시 오수동,17,12,9,40,27,51
4723010700,경상북도 영천시 교촌동,13,0,0,10,0,34
4723010800,경상북도 영천시 과전동,0,1,0,4,0,0
4723011000,경상북도 영천시 화룡동,35,32,6,89,10,69
4723011100,경상북도 영천시 도동,15,80,0,75,46,44
4723011300,경상북도 영천시 완산동,45,81,0,144,48,189
4723011400,경상북도 영천시 범어동,103,3,4,7,12,335
4723011600,경상북도 영천시 봉동,32,27,1,76,6,88
4889041028,경상남도 합천군 대양면 양산리,76,16,0,0,6,193
4784032056,경상북도 성주군 용암면 대봉리,92,63,16,0,12,371
4784032057,경상북도 성주군 용암면 상신리,33,25,50,0,9,549
4784033000,경상북도 성주군 수륜면,1001,921,1151,8,449,5430
4678033025,전라남도 보성군 겸백면 도안리,54,41,19,0,45,131
4725013500,경상북도 상주시 남장동,42,60,139,0,20,748
4725013600,경상북도 상주시 남적동,79,53,21,0,7,121
4725025000,경상북도 상주시 함창읍,883,1079,224,88,310,1770
4725025022,경상북도 상주시 함창읍 오동리,116,44,1,26,0,81
4725025024,경상북도 상주시 함창읍 증촌리,21,66,0,0,7,22
4822031028,경상남도 통영시 용남면 어의리,0,0,4,0,2,38
4719034026,경상북도 구미시 해평면 금산리,131,14,109,0,9,354
4719032029,경상북도 구미시 옥성면 대원리,83,33,43,0,38,385
4719033000,경상북도 구미시 도개면,761,833,690,0,401,3400
4719033021,경상북도 구미시 도개면 가산리,52,217,8,0,107,106
4719033023,경상북도 구미시 도개면 월림리,136,86,12,0,68,145
4833032000,경상남도 양산시 원동면,341,626,2180,0,536,11195
4833032022,경상남도 양산시 원동면 용당리,22,224,176,0,166,1034
4182025000,경기도 가평군 가평읍,699,859,914,29,727,11278
4182025021,경기도 가평군 가평읍 읍내리,58,99,38,5,106,383
