stdg_Cd,bjd_Nm,soil_Crop_Cd,soil_Crop_Nm,high_Suit_Area,suit_Area,poss_Area,low_Suit_Area,etc_Area
4723038024,경상북도 영천시 고경면 대의리,CR005,사과,43,35,27,334,15
4723038025,경상북도 영천시 고경면 대성리,CR005,사과,6,44,13,326,5
4723038026,경상북도 영천시 고경면 오류리,CR005,사과,11,76,23,506,15
4723038027,경상북도 영천시 고경면 고도리,CR005,사과,5,52,18,361,5
4723038028,경상북도 영천시 고경면 부리,CR005,사과,5,44,8,298,3
4723038029,경상북도 영천시 고경면 용전리,CR005,사과,53,87,91,643,22
4723038030,경상북도 영천시 고경면 도암리,CR005,사과,28,46,87,248,19
4723038031,경상북도 영천시 고경면 상리리,CR005,사과,16,29,40,232,8
4723038032,경상북도 영천시 고경면 학리,CR005,사과,7,61,55,400,3
4723038033,경상북도 영천시 고경면 해선리,CR005,사과,19,16,91,197,12
4723038034,경상북도 영천시 고경면 전사리,CR005,사과,11,2,26,65,12
4723038035,경상북도 영천시 고경면 동도리,CR005,사과,23,14,47,185,15
4723038036,경상북도 영천시 고경면 차당리,CR005,사과,18,34,59,311,15
4723038037,경상북도 영천시 고경면 삼귀리,CR005,사과,9,85,21,544,9
4723038038,경상북도 영천시 고경면 초일리,CR005,사과,3,30,35,334,5
4723038039,경상북도 영천시 고경면 상덕리,CR005,사과,16,35,46,290,5
4723038040,경상북도 영천시 고경면 가수리,CR005,사과,25,16,42,157,11
4723038041,경상북도 영천시 고경면 석계리,CR005,사과,17,5,30,53,4
4723038042,경상북도 영천시 고경면 삼산리,CR005,사과,6,10,30,115,10
4723038043,경상북도 영천시 고경면 삼포리,CR005,사과,4,11,29,737,11
4723038044,경상북도 영천시 고경면 오룡리,CR005,사과,1,5,27,501,9
4723038045,경상북도 영천시 고경면 덕암리,CR005,사과,9,21,38,208,10
4723038046,경상북도 영천시 고경면 청정리,CR005,사과,15,26,32,363,12
4723038047,경상북도 영천시 고경면 파계리,CR005,사과,11,46,27,445,34
4723038048,경상북도 영천시 고경면 칠전리,CR005,사과,1,48,18,314,5
4723038049,경상북도 영천시 고경면 덕정리,CR005,사과,7,32,9,385,7
4723038051,경상북도 영천시 고경면 논실리,CR005,사과,2,46,25,304,4
4723039000,경상북도 영천시 북안면,CR005,사과,178,443,1049,5152,242
4723039021,경상북도 영천시 북안면 상리,CR005,사과,2,4,25,451,9
4723039022,경상북도 영천시 북안면 당리,CR005,사과,12,8,46,185,7
4723039023,경상북도 영천시 북안면 북리,CR005,사과,0,11,43,376,15
4723039024,경상북도 영천시 북안면 도유리,CR005,사과,1,14,26,279,10
4723039025,경상북도 영천시 북안면 명주리,CR005,사과,10,14,34,105,7
4723039026,경상북도 영천시 북안면 용계리,CR005,사과,0,17,54,214,8
4723039027,경상북도 영천시 북안면 신대리,CR005,사과,5,11,27,124,9
4723039028,경상북도 영천시 북안면 신리리,CR005,사과,24,12,61,91,15
4723039029,경상북도 영천시 북안면 효리,CR005,사과,2,22,44,232,9
4723039030,경상북도 영천시 북안면 도천리,CR005,사과,16,13,45,105,8
4723039031,경상북도 영천시 북안면 옥천리,CR005,사과,6,19,25,152,1
4723039032,경상북도 영천시 북안면 서당리,CR005,사과,1,21,25,192,4
4723039033,경상북도 영천시 북안면 고지리,CR005,사과,22,25,83,296,16
4723039034,경상북도 영천시 북안면 임포리,CR005,사과,19,19,39,203,11
4723039035,경상북도 영천시 북안면 반계리,CR005,사과,2,3,32,35,6
4723039036,경상북도 영천시 북안면 자포리,CR005,사과,3,27,62,234,3
4723039037,경상북도 영천시 북안면 신촌리,CR005,사과,1,22,43,279,5
4723039038,경상북도 영천시 북안면 관리,CR005,사과,4,43,27,296,8
4723039039,경상북도 영천시 북안면 원당리,CR005,사과,0,39,31,222,2
4723039040,경상북도 영천시 북안면 내포리,CR005,사과,2,7,20,52,4
4723039041,경상북도 영천시 북안면 반정리,CR005,사과,25,37,109,327,27
4723039042,경상북도 영천시 북안면 송포리,CR005,사과,19,24,64,176,25
4723039043,경상북도 영천시 북안면 유하리,CR005,사과,0,2,36,85,2
4723039044,경상북도 영천시 북안면 유상리,CR005,사과,3,29,47,444,32
4723040000,경상북도 영천시 대창면,CR005,사과,148,271,601,3870,174
4723040021,경상북도 영천시 대창면 직천리,CR005,사과,4,20,24,264,18
4723040022,경상북도 영천시 대창면 운천리,CR005,사과,5,16,50,304,6
4723040023,경상북도 영천시 대창면 용전리,CR005,사과,6,12,20,132,5
4723040024,경상북도 영천시 대창면 어방리,CR005,사과,7,22,42,216,10
4723040025,경상북도 영천시 대창면 오길리,CR005,사과,17,16,54,409,7
4723040026,경상북도 영천시 대창면 용호리,CR005,사과,5,7,30,412,7
4723040027,경상북도 영천시 대창면 신광리,CR005,사과,15,21,52,423,14
4723040028,경상북도 영천시 대창면 조곡리,CR005,사과,26,27,64,474,16
4723040029,경상북도 영천시 대창면 대재리,CR005,사과,8,13,38,186,11
4723040030,경상북도 영천시 대창면 구지리,CR005,사과,1,44,77,433,12
4723040031,경상북도 영천시 대창면 사리리,CR005,사과,0,30,22,236,27
4723040032,경상북도 영천시 대창면 대창리,CR005,사과,36,14,62,111,18
4723040033,경상북도 영천시 대창면 강회리,CR005,사과,16,9,39,41,13
4723040034,경상북도 영천시 대창면 병암리,CR005,사과,1,21,27,228,9
4725000000,경상북도 상주시,CR005,사과,7723,3732,13187,96556,4060
4725010100,경상북도 상주시 성하동,CR005,사과,5,0,0,0,0
4725010200,경상북도 상주시 성동동,CR005,사과,19,9,131,8,2
4725010300,경상북도 상주시 인봉동,CR005,사과,7,0,0,0,0
4725010400,경상북도 상주시 복룡동,CR005,사과,40,42,41,0,32
4725010500,경상북도 상주시 냉림동,CR005,사과,31,9,32,0,10
4725010600,경상북도 상주시 서성동,CR005,사과,14,0,0,1,0
4725010700,경상북도 상주시 남성동,CR005,사과,43,1,16,2,0
4725010800,경상북도 상주시 서문동,CR005,사과,14,0,7,0,0
4725010900,경상북도 상주시 무양동,CR005,사과,38,0,38,0,10
4725011000,경상북도 상주시 낙양동,CR005,사과,15,2,67,111,6
4725011100,경상북도 상주시 개운동,CR005,사과,39,16,19,550,27
4725011200,경상북도 상주시 신봉동,CR005,사과,53,8,99,96,3
4725011300,경상북도 상주시 가장동,CR005,사과,80,14,52,284,19
4725011400,경상북도 상주시 양촌동,CR005,사과,66,8,34,216,17
4725011500,경상북도 상주시 지천동,CR005,사과,42,23,70,799,15
4725011600,경상북도 상주시 오대동,CR005,사과,17,11,51,309,8
4725011700,경상북도 상주시 흥각동,CR005,사과,23,13,40,65,13
4725011800,경상북도 상주시 거동동,CR005,사과,6,2,44,332,0
4725011900,경상북도 상주시 인평동,CR005,사과,19,40,41,165,13
4725012000,경상북도 상주시 서곡동,CR005,사과,5,16,39,273,3
4725012100,경상북도 상주시 화개동,CR005,사과,16,21,17,76,21
4725012200,경상북도 상주시 외답동,CR005,사과,25,18,62,205,12
4725012300,경상북도 상주시 헌신동,CR005,사과,21,71,69,265,16
4725012400,경상북도 상주시 병성동,CR005,사과,45,8,71,173,46
4725012500,경상북도 상주시 도남동,CR005,사과,55,23,78,108,81
4725012600,경상북도 상주시 낙상동,CR005,사과,44,25,103,112,29
4725012700,경상북도 상주시 중덕동,CR005,사과,18,16,175,43,23
4725012800,경상북도 상주시 초산동,CR005,사과,18,44,172,40,13
4725012900,경상북도 상주시 화산동,CR005,사과,31,8,229,50,1
4725013000,경상북도 상주시 계산동,CR005,사과,40,9,56,50,22
4725013100,경상북도 상주시 부원동,CR005,사과,23,13,15,234,1
4725013200,경상북도 상주시 죽전동,CR005,사과,2,0,134,32,4
4725013300,경상북도 상주시 만산동,CR005,사과,17,4,51,246,12
4725013400,경상북도 상주시 연원동,CR005,사과,34,30,47,715,26
4725013500,경상북도 상주시 남장동,CR005,사과,35,9,46,899,20
4725013600,경상북도 상주시 남적동,CR005,사과,7,41,49,177,7
4725025000,경상북도 상주시 함창읍,CR005,사과,523,212,1131,2177,310
4725025021,경상북도 상주시 함창읍 구향리,CR005,사과,9,12,86,35,0
4725025022,경상북도 상주시 함창읍 오동리,CR005,사과,29,2,161,77,0
4725025023,경상북도 상주시 함창읍 오사리,CR005,사과,7,22,136,6,31
4725025024,경상북도 상주시 함창읍 증촌리,CR005,사과,7,5,89,9,7
4725025025,경상북도 상주시 함창읍 교촌리,CR005,사과,10,7,38,66,2
4725025026,경상북도 상주시 함창읍 나한리,CR005,사과,30,9,48,271,2
4725025027,경상북도 상주시 함창읍 대조리,CR005,사과,34,5,100,115,6
4725025028,경상북도 상주시 함창읍 윤직리,CR005,사과,32,6,33,75,3
4725025029,경상북도 상주시 함창읍 덕통리,CR005,사과,47,2,78,89,45
4725025030,경상북도 상주시 함창읍 척동리,CR005,사과,55,7,11,7,8
4725025031,경상북도 상주시 함창읍 태봉리,CR005,사과,29,20,112,26,25
4725025032,경상북도 상주시 함창읍 신흥리,CR005,사과,44,50,108,213,37
4725025033,경상북도 상주시 함창읍 신덕리,CR005,사과,67,30,33,413,40
4725025034,경상북도 상주시 함창읍 금곡리,CR005,사과,62,18,51,236,66
4725025035,경상북도 상주시 함창읍 하갈리,CR005,사과,62,18,47,539,39
4725031000,경상북도 상주시 중동면,CR005,사과,394,219,540,3451,596
4725031021,경상북도 상주시 중동면 회상리,CR005,사과,81,51,93,650,123
4725031022,경상북도 상주시 중동면 오상리,CR005,사과,65,47,60,510,110
4725031023,경상북도 상주시 중동면 죽암리,CR005,사과,73,10,134,221,151
4725031024,경상북도 상주시 중동면 간상리,CR005,사과,68,91,77,658,88
4725031025,경상북도 상주시 중동면 신암리,CR005,사과,43,4,52,219,40
4725031026,경상북도 상주시 중동면 금당리,CR005,사과,16,1,48,742,11
