alfisols_Area,andisols_Area,bjd_Nm,entisols_Area,etc_Area,histosols_Area,inceptisols_Area,mollisols_Area,stdg_Cd,ultisols_Area
21,0,전라남도 신안군 비금면 가산리,80,36,0,272,0,4691034024,14
27,0,전라남도 신안군 비금면 덕산리,109,39,0,221,0,4691034025,17
10,0,전라남도 신안군 비금면 구림리,110,43,0,221,0,4691034027,19
13,0,전라남도 신안군 비금면 신원리,97,15,0,122,0,4691034028,8
51,0,부산광역시 강서구 죽림동,0,35,0,104,0,2644010500,10
19,0,부산광역시 강서구 식만동,42,34,0,160,0,2644010600,0
9,0,부산광역시 강서구 죽동동,1,35,0,404,0,2644010700,2
199,0,부산광역시 강서구 봉림동,0,261,0,526,0,2644010800,6
12,0,부산광역시 강서구 화전동,27,110,0,154,15,2644011000,38
3,0,경기도 화성시 팔탄면 덕우리,0,0,0,237,0,4159036030,8
3,0,경기도 화성시 서신면 제부리,31,24,0,88,0,4159035026,0
12,0,경기도 화성시 서신면 홍법리,1,0,0,270,0,4159035027,4
30,0,경기도 화성시 서신면 매화리,2,22,0,286,0,4159035029,26
36,0,경기도 화성시 서신면 용두리,0,4,0,420,0,4159035030,0
25,0,경기도 화성시 서신면 백미리,4,12,0,328,0,4159035032,0
305,0,경기도 화성시 팔탄면,40,220,0,4376,0,4159036000,149
15,0,경기도 화성시 팔탄면 창곡리,7,0,0,307,0,4159036022,0
7,0,경기도 화성시 팔탄면 기천리,3,46,0,429,0,4159036023,0
3,0,경기도 화성시 팔탄면 구장리,16,8,0,475,0,4159036025,0
18,0,경기도 화성시 팔탄면 율암리,0,25,0,455,0,4159036026,42
4,0,경기도 화성시 팔탄면 덕천리,0,8,0,261,0,4159036028,1
39,0,전라남도 순천시 낙안면 평촌리,0,3,0,40,0,4615038029,8
62,0,전라남도 구례군 마산면 황전리,68,21,0,1446,0,4673034024,36
186,0,전라남도 구례군 마산면 갑산리,0,3,0,66,0,4673034025,0
488,0,전라남도 구례군 광의면,187,88,0,2385,0,4673035000,217
26,0,전라남도 구례군 광의면 연파리,16,9,0,54,0,4673035021,12
19,0,전라남도 구례군 광의면 대산리,17,14,0,117,0,4673035023,0
113,0,전라남도 구례군 광의면 지천리,34,15,0,136,0,4673035024,0
23,0,전라남도 구례군 광의면 대전리,5,3,0,120,0,4673035026,53
114,0,전라남도 구례군 광의면 온당리,28,7,0,470,0,4673035027,42
275,0,전라남도 구례군 용방면,192,69,0,1905,0,4673036000,19
37,0,전라남도 구례군 용방면 신지리,31,16,0,84,0,4673036022,0
