bjd_Nm,etc_Area,excespoor_Drain_Area,exceswell_Drain_Area,moderpoor_Drain_Area,moderwell_Drain_Area,poor_Drain_Area,stdg_Cd,well_Drain_Area
경상북도 안동시 일직면,341,12,5952,239,811,0,4717035000,1216
경상북도 안동시 일직면 귀미리,64,0,574,31,81,0,4717035021,74
경상북도 안동시 일직면 망호리,14,0,210,2,117,0,4717035023,66
경상북도 영천시 조교동,36,0,9,4,146,0,4723010100,36
경상북도 영천시 야사동,5,0,98,12,77,0,4723010300,48
경상북도 영천시 문외동,0,0,25,0,15,0,4723010500,23
경상북도 영주시 안정면 대평리,7,7,52,53,13,0,4721035032,26
경상북도 영주시 안정면 오계리,7,58,246,102,49,2,4721035033,88
경상북도 영덕군 남정면 사암리,3,0,761,0,46,0,4777032042,166
전라남도 영광군 법성면 입암리,22,30,218,18,0,12,4687037026,59
전라남도 영광군 법성면 월산리,10,21,26,56,16,30,4687037028,181
전라남도 보성군 겸백면 용산리,32,12,118,42,27,0,4678033026,211
전라남도 장성군 북하면 동현리,101,0,176,3,1,0,4688040030,56
전라남도 장성군 장성읍 용곡리,147,0,363,0,0,0,4688025036,92
울산광역시 울주군 온양읍,124,11,2657,688,441,1,3171025600,2525
울산광역시 울주군 온양읍 발리,8,4,82,95,41,0,3171025621,451
울산광역시 울주군 온양읍 망양리,18,0,266,69,28,0,3171025623,73
울산광역시 울주군 온양읍 남창리,16,1,55,33,2,0,3171025624,22
경상북도 포항시남구 대송면 송동리,8,6,0,42,33,4,4711131026,136
경상북도 포항시남구 대송면 제내리,19,14,0,36,6,0,4711131027,20
경상북도 포항시남구 대송면 옥명리,0,0,0,35,24,0,4711131028,185
경상북도 포항시남구 동해면,34,0,311,293,338,35,4711132000,3374
경상북도 포항시남구 동해면 약전리,0,0,13,18,3,15,4711132022,66
충청북도 음성군 맹동면 통동리,44,0,589,9,0,0,4377033029,108
충청북도 음성군 대소면,92,252,55,560,832,0,4377034000,2022
충청북도 음성군 맹동면 본성리,1,26,0,20,7,0,4377033027,62
경기도 광주시 도척면,99,40,3215,314,406,0,4161033000,1140
경기도 광주시 도척면 유정리,17,0,249,34,112,0,4161033022,93
경기도 화성시 봉담읍 유리,27,4,67,19,22,0,4159025332,39
경기도 화성시 봉담읍,124,156,577,681,283,0,4159025300,2462
경기도 화성시 봉담읍 내리,3,14,26,94,36,0,4159025322,374
경기도 화성시 봉담읍 수영리,2,31,11,58,32,0,4159025323,168
경기도 화성시 봉담읍 와우리,0,0,0,38,15,0,4159025325,104
경기도 화성시 봉담읍 수기리,5,6,0,27,8,0,4159025326,80
경기도 화성시 봉담읍 왕림리,0,5,64,51,18,0,4159025328,134
경기도 화성시 봉담읍 세곡리,2,0,72,4,13,0,4159025329,51
전라남도 신안군 자은면 유천리,24,0,119,7,64,72,4691033024,295
전라남도 신안군 자은면 유각리,43,0,80,95,108,66,4691033025,283
전라남도 신안군 자은면 면전리,10,0,33,58,32,0,4691033026,124
전라남도 신안군 자은면 고장리,29,0,250,168,39,0,4691033028,266
전라남도 신안군 자은면 구영리,8,0,118,91,36,0,4691033029,179
전라남도 신안군 비금면 광대리,22,0,145,37,19,0,4691034021,225
전라남도 신안군 비금면 용소리,6,0,15,101,2,19,4691034022,54
전라남도 신안군 비금면 가산리,36,0,80,52,15,165,4691034024,74
전라남도 신안군 비금면 덕산리,39,0,109,68,13,82,4691034025,100
전라남도 신안군 비금면 구림리,43,0,92,87,28,84,4691034027,69
전라남도 신안군 비금면 신원리,15,0,93,76,4,0,4691034028,65
부산광역시 강서구 죽림동,35,0,1,69,16,63,2644010500,17
부산광역시 강서구 식만동,34,0,6,35,51,130,2644010600,0
부산광역시 강서구 죽동동,35,0,2,218,7,185,2644010700,4
부산광역시 강서구 봉림동,261,0,1,498,98,123,2644010800,11
부산광역시 강서구 화전동,110,0,30,61,53,51,2644011000,52
경기도 화성시 팔탄면 덕우리,0,4,6,37,16,8,4159036030,177
경기도 화성시 서신면 제부리,24,7,76,31,0,1,4159035026,7
경기도 화성시 서신면 홍법리,0,44,10,22,20,11,4159035027,183
경기도 화성시 서신면 매화리,22,40,14,18,26,105,4159035029,141
경기도 화성시 서신면 용두리,4,74,6,48,21,48,4159035030,259
경기도 화성시 서신면 백미리,12,10,0,56,17,48,4159035032,227
경기도 화성시 팔탄면,220,267,421,871,464,156,4159036000,2691
경기도 화성시 팔탄면 창곡리,0,19,66,52,47,0,4159036022,144
경기도 화성시 팔탄면 기천리,46,0,133,40,70,0,4159036023,197
경기도 화성시 팔탄면 구장리,8,20,65,101,61,0,4159036025,247
경기도 화성시 팔탄면 율암리,25,31,0,59,48,0,4159036026,376
경기도 화성시 팔탄면 덕천리,8,16,9,33,13,0,4159036028,196
전라남도 순천시 낙안면 평촌리,3,0,0,10,68,0,4615038029,8
전라남도 구례군 마산면 황전리,21,0,1364,4,99,0,4673034024,144
전라남도 구례군 마산면 갑산리,3,0,0,28,169,0,4673034025,55
전라남도 구례군 광의면,88,0,1777,274,682,0,4673035000,543
전라남도 구례군 광의면 연파리,9,0,5,28,44,0,4673035021,31
전라남도 구례군 광의면 대산리,14,0,0,31,100,0,4673035023,22
전라남도 구례군 광의면 지천리,15,0,5,76,156,0,4673035024,46
전라남도 구례군 광의면 대전리,3,0,61,24,43,0,4673035026,73
전라남도 구례군 광의면 온당리,7,0,366,44,147,0,4673035027,97
전라남도 구례군 용방면,69,0,989,366,417,0,4673036000,619
전라남도 구례군 용방면 신지리,16,0,2,58,20,0,4673036022,73
경상남도 창녕군 영산면 신제리,60,0,125,120,19,0,4874038027,118
경상남도 창녕군 영산면 월령리,20,0,23,172,140,0,4874038028,71
경상남도 창녕군 장마면,159,69,1403,493,306,10,4874039000,554
경상남도 창녕군 장마면 강리,17,37,43,52,26,0,4874039021,15
경상북도 영천시 고경면 창상리,15,0,18,6,69,0,4723038023,39
경상북도 영천시 고경면 대의리,15,0,245,26,36,0,4723038024,132
경상북도 영천시 고경면 오류리,15,0,450,40,16,0,4723038026,109
경상북도 영천시 고경면 고도리,5,0,291,24,14,0,4723038027,107
경상북도 영천시 고경면 용전리,22,0,465,61,76,0,4723038029,272
경상북도 영천시 고경면 상리리,8,0,178,34,38,0,4723038031,66
경상북도 영천시 고경면 학리,3,0,359,19,36,0,4723038032,109
경상북도 영천시 북안면 원당리,2,0,208,6,19,0,4723039039,57
경상남도 사천시 정동면 수청리,12,0,60,0,40,0,4824031025,113
경상남도 사천시 사천읍 선인리,0,0,0,55,15,0,4824025021,51
경상남도 사천시 사천읍 정의리,0,0,0,13,11,0,4824025022,20
경상남도 사천시 사천읍 수석리,2,0,2,143,1,0,4824025024,18
경상남도 사천시 사천읍 사주리,9,0,11,76,10,0,4824025025,25
경상남도 사천시 사천읍 중선리,14,26,0,142,0,0,4824025027,2
경상남도 사천시 사천읍 구암리,7,0,258,84,41,0,4824025028,291
경상남도 사천시 사천읍 금곡리,5,0,248,2,39,0,4824025030,21
경상남도 사천시 사천읍 두량리,50,0,321,94,26,0,4824025031,188
경상남도 사천시 정동면 예수리,16,0,33,54,35,0,4824031022,128
경상남도 사천시 정동면 화암리,1,0,83,54,18,0,4824031023,63
경상남도 사천시 사천읍,107,29,1092,745,217,0,4824025000,784
경상북도 영천시 청통면 신학리,8,0,49,39,50,0,4723031029,31
경상북도 영천시 청통면 애련리,10,0,227,41,51,0,4723031031,179
경상북도 영천시 청통면 계포리,9,0,13,11,43,0,4723031032,77
경상북도 영천시 청통면 신원리,18,0,791,29,44,0,4723031034,214
경상북도 영천시 신녕면,205,0,5202,201,763,0,4723032000,1709
경상북도 영천시 신녕면 치산리,33,0,1437,19,103,0,4723032021,417
경상북도 영천시 신녕면 화서리,6,0,465,8,47,0,4723032023,120
경상북도 영천시 신녕면 왕산리,41,0,603,5,65,0,4723032025,273
경상북도 영천시 임고면 우항리,30,0,42,3,151,0,4723037031,86
경상북도 영천시 자양면 용산리,106,0,800,0,29,0,4723036025,149
경상북도 영천시 자양면 성곡리,184,0,273,0,21,0,4723036028,178
경상남도 김해시 진영읍 하계리,3,0,42,20,33,0,4825025022,224
경상남도 김해시 진영읍 방동리,2,0,11,8,13,0,4825025023,61
전라남도 보성군 미력면,143,52,645,531,138,0,4678032000,1563
전라남도 보성군 미력면 도개리,18,0,99,102,24,0,4678032021,86
전라남도 보성군 미력면 미력리,1,0,285,63,13,0,4678032022,174
전라남도 보성군 미력면 용정리,26,0,50,88,4,0,4678032024,249
전라남도 보성군 미력면 덕림리,30,36,15,36,20,0,4678032025,184
전라남도 보성군 미력면 초당리,3,0,8,59,30,0,4678032027,233
전라남도 보성군 겸백면,222,37,1310,375,339,0,4678033000,2477
전라남도 보성군 겸백면 운림리,60,0,89,3,66,0,4678033022,342
전라남도 보성군 겸백면 은덕리,9,0,153,56,22,0,4678033023,290
경상북도 포항시남구 대송면,71,45,1493,231,206,50,4711131000,1169
경상북도 포항시남구 대송면 공수리,1,0,0,21,7,12,4711131021,37
경상북도 포항시남구 대송면 홍계리,1,0,230,9,17,0,4711131023,89
경상북도 포항시남구 대송면 산여리,7,0,683,0,6,0,4711131024,112
경상북도 포항시북구 남빈동,0,3,3,0,0,0,4711310300,0
경상북도 포항시북구 상원동,0,3,3,0,0,0,4711310400,0
경상북도 포항시남구 오천읍 항사리,76,0,1610,1,24,0,4711125623,203
경상북도 포항시남구 장기면 대진리,7,8,13,13,13,0,4711133035,93
경상북도 포항시남구 장기면 학계리,4,0,23,20,18,2,4711133037,114
경상북도 포항시남구 장기면 학곡리,6,11,1,17,35,0,4711133038,259
경상북도 포항시남구 장기면 창지리,3,0,0,29,15,0,4711133040,229
전라남도 영광군 낙월면 하낙월리,0,0,48,0,0,0,4687038022,8
전라남도 영광군 낙월면 임병리,8,0,23,0,0,0,4687038023,6
전라남도 영광군 낙월면 월촌리,3,0,109,1,6,0,4687038025,55
전라남도 영광군 낙월면 신기리,5,0,150,1,4,0,4687038026,46
전라남도 영광군 낙월면 석만리,2,0,44,0,0,0,4687038028,7
경기도 광주시 쌍령동,13,6,225,8,20,0,4161010200,61
경기도 광주시 송정동,12,5,297,20,61,0,4161010300,111
경기도 광주시 회덕동,3,0,263,0,17,0,4161010400,67
경기도 광주시 목현동,1,0,737,8,34,0,4161010600,106
경기도 광주시 삼동,1,0,311,21,17,0,4161010700,74
경기도 광주시 직동,0,9,482,7,16,0,4161010900,82
경기도 광주시 태전동,16,10,268,26,38,0,4161011000,128
경기도 광주시 장지동,20,1,108,84,48,0,4161011100,95
경기도 광주시 목동,3,0,437,18,30,0,4161011300,112
경상북도 영주시 안정면 옹암리,0,0,99,52,3,0,4721035030,44
경상북도 영천시 녹전동,18,0,60,20,79,0,4723012100,84
경상북도 영천시 도림동,15,0,361,30,71,0,4723012200,113
경상북도 영주시 안정면 동촌리,7,50,152,23,19,0,4721035034,63
경상북도 영주시 장수면 소룡리,7,47,207,47,15,0,4721034026,94
경상북도 영주시 장수면 호문리,8,70,245,39,11,0,4721034027,108
경상북도 영주시 장수면 파지리,0,15,126,23,4,0,4721034028,36
경상북도 영주시 안정면 신전리,8,0,33,64,14,0,4721035021,20
경상북도 영주시 안정면 봉암리,1,0,139,40,22,0,4721035023,70
경상북도 영주시 안정면 용산리,0,36,283,75,40,0,4721035024,180
경상북도 영주시 안정면 묵리,4,38,225,35,4,0,4721035026,36
경상북도 영주시 안정면 내줄리,20,31,127,95,29,0,4721035027,44
전라남도 보성군 겸백면 남양리,21,0,55,92,39,0,4678033027,268
전라남도 보성군 겸백면 사곡리,3,0,112,35,32,0,4678033028,176
경상북도 청송군 청송읍 월막리,23,0,229,0,47,0,4775025021,60
경기도 성남시수정구,109,38,1982,597,271,6,4113100000,1536
경기도 성남시수정구 신흥동,2,0,17,45,0,0,4113110100,115
경기도 성남시수정구 수진동,3,0,0,7,5,0,4113110300,111
경기도 성남시수정구 단대동,0,0,8,28,0,0,4113110400,44
경기도 성남시수정구 양지동,0,0,66,20,0,0,4113110600,40
경기도 성남시수정구 복정동,11,2,133,77,61,1,4113110700,93
경기도 성남시수정구 신촌동,5,5,6,38,3,5,4113110900,19
경기도 성남시수정구 오야동,10,0,24,37,6,0,4113111000,41
경상북도 포항시남구 동해면 금광리,3,0,0,70,7,4,4711132023,323
경상북도 포항시남구 동해면 석리,1,0,17,15,12,0,4711132025,171
경상북도 포항시남구 동해면 임곡리,0,0,7,15,16,0,4711132026,156
경상북도 포항시남구 동해면 마산리,1,0,2,2,14,0,4711132028,209
경상북도 포항시남구 동해면 중흥리,1,0,7,0,21,0,4711132030,382
경상북도 포항시남구 동해면 발산리,8,0,197,2,17,0,4711132031,446
경상북도 포항시남구 오천읍 진전리,43,0,1228,0,21,0,4711125624,70
경상북도 포항시남구 오천읍 갈평리,27,0,534,1,46,0,4711125625,373
경상북도 포항시남구 오천읍 용산리,14,0,66,0,15,0,4711125627,215
경상북도 포항시남구 오천읍 광명리,2,0,0,12,56,0,4711125628,255
경상북도 포항시남구 오천읍 용덕리,7,0,5,2,111,0,4711125630,73
전라남도 영광군 법성면 용덕리,4,52,24,21,53,1,4687037030,131
전라남도 영광군 법성면 삼당리,14,47,0,104,0,0,4687037031,150
전라남도 영광군 낙월면,59,0,823,3,16,0,4687038000,260
충청북도 음성군 원남면 주봉리,13,0,195,39,32,0,4377032029,204
충청북도 음성군 원남면 문암리,4,0,136,92,35,0,4377032030,318
충청북도 음성군 원남면 조촌리,87,0,858,14,65,0,4377032031,240
충청북도 음성군 원남면 덕정리,0,0,402,17,29,0,4377032033,144
충청북도 음성군 맹동면 쌍정리,3,43,103,26,68,0,4377033021,126
충청북도 음성군 맹동면 인곡리,1,11,151,40,11,0,4377033022,150
충청북도 음성군 맹동면 봉현리,8,24,0,60,53,0,4377033024,123
충청북도 음성군 맹동면 신돈리,1,16,0,13,10,0,4377033026,80
경기도 광주시 도척면 방도리,0,8,207,76,46,0,4161033023,216
충청남도 아산시 신창면 창암리,3,0,0,88,34,0,4420041023,246
충청남도 아산시 신창면 황산리,0,0,0,63,38,0,4420041024,152
충청남도 아산시 신창면 행목리,4,0,0,73,17,0,4420041025,229
충청남도 아산시 신창면 신달리,22,0,0,160,6,0,4420041027,62
충청남도 아산시 신창면 남성리,3,0,0,174,49,0,4420041028,246
충청남도 아산시 신창면 가덕리,36,0,0,164,51,0,4420041030,103
충청남도 아산시 신창면 신곡리,25,0,0,148,10,0,4420041031,65
충청남도 서산시,3988,5985,4086,10093,5643,4008,4421000000,36998
충청남도 서산시 읍내동,7,9,0,32,3,0,4421010100,181
충청남도 서산시 동문동,0,0,0,33,53,0,4421010200,222
경기도 구리시 토평동,220,0,51,5,57,0,4131010700,257
경기도 화성시 봉담읍 마하리,3,11,29,21,6,0,4159025331,50
전라남도 신안군 비금면 죽림리,43,0,141,157,10,83,4691034030,96
부산광역시 강서구 녹산동,71,0,234,51,86,16,2644011100,70
부산광역시 강서구 구랑동,8,22,209,66,27,6,2644011300,153
부산광역시 강서구 지사동,22,0,659,21,109,0,2644011400,419
부산광역시 강서구 범방동,46,6,99,194,14,30,2644011600,44
부산광역시 강서구 신호동,366,0,0,0,42,0,2644011700,0
경기도 화성시 팔탄면 지월리,6,7,23,54,20,0,4159036029,93
경기도 화성시 서신면 송교리,26,49,1,29,22,71,4159035025,132
경기도 화성시 송산면 용포리,24,12,0,70,11,75,4159034024,95
경기도 화성시 송산면 고정리,148,6,8,63,31,198,4159034025,218
경기도 화성시 송산면 천등리,3,13,19,19,29,0,4159034027,142
경기도 화성시 송산면 신천리,10,7,23,60,16,28,4159034028,83
경기도 화성시 송산면 마산리,8,33,0,49,8,57,4159034030,209
경기도 화성시 송산면 고포리,16,32,8,24,8,22,4159034031,249
경기도 화성시 송산면 중송리,5,19,0,29,7,57,4159034033,167
경기도 화성시 송산면 육일리,0,20,3,25,16,0,4159034034,149
경기도 화성시 서신면,251,396,207,424,254,522,4159035000,2279
경기도 화성시 서신면 전곡리,60,47,27,44,22,70,4159035021,401
경상남도 고성군 고성읍 성내리,0,0,0,0,0,0,4882025021,15
경상남도 고성군 고성읍 서외리,0,16,0,3,1,0,4882025022,28
경상남도 고성군 고성읍 동외리,0,0,0,43,15,0,4882025024,71
경상남도 고성군 고성읍 송학리,7,0,0,137,9,0,4882025025,35
전라남도 순천시 낙안면 옥산리,3,0,10,16,57,0,4615038028,49
전라남도 구례군 마산면 광평리,13,0,130,30,19,0,4673034022,105
전라남도 강진군 군동면 파산리,14,0,261,112,66,0,4681031021,142
전라남도 강진군 군동면 라천리,4,0,110,163,31,0,4681031023,59
전라남도 강진군 군동면 화산리,15,0,552,44,70,0,4681031025,270
전라남도 강진군 군동면 용소리,34,1,371,93,26,0,4681031026,124
전라남도 강진군 군동면 장산리,17,17,445,37,87,0,4681031028,76
전라남도 강진군 군동면 덕천리,61,0,281,41,70,0,4681031029,104
전라남도 강진군 군동면 쌍덕리,5,0,22,65,19,0,4681031031,83
전라남도 강진군 군동면 금사리,22,4,428,5,43,0,4681031032,96
전라남도 강진군 칠량면,137,231,2988,420,711,5,4681032000,1514
전라남도 강진군 칠량면 동백리,2,4,402,30,43,0,4681032022,94
경상북도 상주시 성하동,0,0,0,0,0,0,4725010100,5
경상북도 상주시 성동동,2,1,0,40,106,0,4725010200,19
경상북도 상주시 복룡동,32,10,30,26,24,0,4725010400,33
경상북도 상주시 냉림동,10,8,5,10,40,0,4725010500,8
경상북도 상주시 남성동,0,0,2,16,1,0,4725010700,43
경상북도 상주시 서문동,0,0,0,7,0,0,4725010800,14
경상북도 영천시 북안면 관리,8,0,261,5,20,0,4723039038,83
경상북도 상주시 함창읍 척동리,8,0,6,7,39,0,4725025030,27
경상북도 상주시 함창읍 태봉리,25,0,9,101,52,0,4725025031,24
경상북도 영천시 북안면 반정리,27,0,220,35,115,0,4723039041,127
경상북도 영천시 북안면 도유리,10,0,175,16,27,0,4723039024,102
경상남도 사천시 늑도동,5,0,39,0,2,0,4824012000,4
경상남도 사천시 신수동,12,0,9,1,0,0,4824012100,91
경상남도 사천시 백천동,19,0,409,0,15,0,4824012200,207
경상남도 사천시 대포동,3,4,0,5,37,0,4824012500,14
경상남도 사천시 송포동,7,0,130,14,155,0,4824012600,116
경상남도 밀양시 무안면 화봉리,11,0,478,9,119,0,4827038024,158
경상남도 밀양시 무안면 양효리,7,0,149,54,34,0,4827038026,141
경상북도 영천시 자양면 용화리,14,0,1194,0,17,0,4723036029,231
경상북도 영천시 임고면 양항리,42,0,124,12,39,0,4723037021,106
경상북도 영천시 임고면 덕연리,32,0,91,7,50,0,4723037023,231
경상북도 영천시 임고면 삼매리,41,0,663,24,149,0,4723037024,163
경상북도 영천시 임고면 황강리,5,0,17,10,45,0,4723037026,69
경상북도 영천시 임고면 효리,23,0,333,37,102,0,4723037027,187
경상북도 영천시 임고면 사리,71,0,956,20,90,0,4723037029,235
경상북도 영천시 임고면 수성리,14,0,1369,0,136,0,4723037030,434
경상북도 영천시 자양면 충효리,86,0,814,4,91,0,4723036023,139
경상북도 영천시 북안면 상리,9,0,267,1,71,0,4723039021,142
경상북도 영천시 북안면 당리,7,0,145,5,71,0,4723039022,30
경상북도 영천시 자양면 신방리,7,0,496,0,54,0,4723036026,151
경상남도 김해시 삼계동,16,0,490,96,54,0,4825010700,350
경상남도 김해시 내동,14,38,35,5,122,0,4825010800,41
경상남도 사천시 곤명면 추천리,4,0,102,59,41,0,4824036021,118
경상남도 사천시 축동면 가산리,34,0,131,50,17,2,4824034026,153
경상남도 사천시 축동면 구호리,13,0,72,23,12,0,4824034027,71
경상남도 사천시 곤양면,179,2,3227,862,232,71,4824035000,1543
경상남도 사천시 곤양면 남문외리,4,0,14,26,3,0,4824035022,2
경상남도 사천시 곤양면 서정리,15,0,172,80,22,0,4824035023,88
경상남도 사천시 곤양면 대진리,20,0,260,129,16,14,4824035025,195
경상남도 사천시 곤명면 송림리,7,3,186,50,5,0,4824036031,72
경상남도 사천시 곤양면 흥사리,9,0,476,90,16,0,4824035028,129
경상북도 영양군 청기면 정족리,35,0,962,11,91,0,4776032034,226
경상북도 영천시 화산면 부계리,12,0,101,12,12,0,4723033034,33
경상북도 영천시 쌍계동,26,0,80,3,46,0,4723012500,35
경상북도 영천시 도남동,18,0,7,23,84,0,4723012600,41
경상북도 영천시 매산동,33,0,150,58,77,0,4723012700,145
경상북도 영천시 언하동,17,0,32,33,92,0,4723012800,44
경상북도 영천시 서산동,29,0,415,52,84,0,4723013000,71
경상북도 영천시 금호읍,467,0,1710,358,1452,0,4723025000,1177
경상북도 영천시 금호읍 덕성리,42,0,0,0,34,0,4723025022,38
경상북도 영천시 금호읍 대미리,15,0,172,30,58,0,4723025024,79
경상북도 영천시 금호읍 석섬리,0,0,14,0,75,0,4723025025,24
경상북도 영천시 금호읍 냉천리,57,0,11,0,68,0,4723025027,78
경상남도 김해시 주촌면 내삼리,14,4,244,27,127,0,4825032025,279
경상남도 김해시 한림면 신천리,7,0,82,17,92,0,4825034024,278
경상남도 김해시 주촌면 망덕리,8,26,5,30,31,0,4825032027,55
경상남도 김해시 주촌면 농소리,15,1,0,100,8,2,4825032028,29
경상남도 김해시 진례면 청천리,8,0,56,75,68,0,4825033021,122
경상남도 김해시 진례면 송정리,13,9,132,21,182,0,4825033023,152
경상남도 김해시 진영읍 좌곤리,17,0,19,113,62,0,4825025025,87
경상남도 김해시 진영읍 진영리,43,0,30,219,124,0,4825025026,207
경상남도 김해시 진영읍 여래리,2,0,5,13,46,0,4825025027,221
경상남도 김해시 진영읍 신용리,2,0,0,50,23,0,4825025029,164
경상남도 김해시 진영읍 내룡리,5,0,18,32,26,0,4825025031,210
경상남도 김해시 진영읍 죽곡리,13,0,35,56,17,0,4825025032,107
경상북도 영주시 안정면 안심리,11,3,53,44,32,0,4721035029,34
경상북도 영천시 대전동,18,0,87,14,46,0,4723012000,61
경상북도 영주시 순흥면 배점리,26,0,1253,19,38,0,4721037027,199
경상북도 영주시 순흥면 덕현리,3,2,842,2,39,0,4721037028,158
경상북도 영천시 오수동,27,0,51,0,62,0,4723012400,16
경상북도 영천시 교촌동,0,0,34,0,10,0,4723010700,13
경상북도 영천시 과전동,0,0,0,0,4,0,4723010800,1
경상북도 영천시 화룡동,10,0,59,14,116,0,4723011000,42
경상북도 영천시 도동,46,0,24,17,88,0,4723011100,85
경상북도 영천시 완산동,48,0,185,9,152,0,4723011300,113
경상북도 영천시 범어동,12,0,225,49,14,0,4723011400,163
