bjd_Nm,posifertk_Fachs1_Area,posifertk_Fachs2_Area,posifertk_Fachs3_Area,posifertk_Fachs4_Area,posifertk_Fachs5_Area,posifertk_Fachs6_Area,posifertk_Fruit1_Area,posifertk_Fruit2_Area,posifertk_Fruit3_Area,posifertk_Fruit4_Area,posifertk_Fruit5_Area,posifertk_Fruit6_Area,posifertk_Pfld1_Area,posifertk_Pfld2_Area,posifertk_Pfld3_Area,posifertk_Pfld4_Area,posifertk_Pfld5_Area,posifertk_Pfld6_Area,posifertk_Rfld1_Area,posifertk_Rfld2_Area,posifertk_Rfld3_Area,posifertk_Rfld4_Area,posifertk_Rfld5_Area,posifertk_Rfld6_Area,stdg_Cd
경상북도 영천시 금호읍 대미리,0,0,0,0,0,1,0,0,1,2,3,34,0,0,0,4,2,24,-,-,-,-,-,-,4723025024
경상북도 영천시 금호읍 석섬리,-,-,-,-,-,-,0,0,0,1,0,22,0,0,0,0,1,13,-,-,-,-,-,-,4723025025
경상북도 영천시 금호읍 냉천리,0,0,0,0,0,1,0,0,0,2,0,22,0,0,0,0,3,42,0,0,0,0,0,1,4723025027
경상남도 김해시 주촌면 내삼리,0,0,0,1,1,2,0,0,2,0,4,10,0,13,14,17,6,14,1,2,3,1,0,2,4825032025
경상남도 김해시 한림면 신천리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,2,5,2,10,6,9,10,6,3,3,4825034024
경상남도 김해시 주촌면 망덕리,0,0,0,0,0,3,-,-,-,-,-,-,0,0,2,4,3,10,0,2,3,4,3,5,4825032027
경상남도 김해시 주촌면 농소리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,4,3,1,5,0,1,2,4,4,5,4825032028
경상남도 김해시 진례면 청천리,0,1,0,0,0,0,0,0,0,0,0,3,0,1,6,9,7,8,4,25,26,7,1,2,4825033021
경상남도 김해시 진례면 송정리,-,-,-,-,-,-,0,2,0,1,0,32,6,17,6,3,1,2,6,55,82,34,14,9,4825033023
경상남도 김해시 진영읍 좌곤리,0,0,0,0,0,1,-,-,-,-,-,-,0,0,2,1,11,6,1,50,131,68,25,25,4825025025
