aqualfs_Area,aquents_Area,aquepts_Area,aquolls_Area,aquults_Area,bjd_Nm,etc_Area,fluvents_Area,hemists_Area,humults_Area,orthents_Area,psamments_Area,saprists_Area,stdg_Cd,udalfs_Area,udands_Area,udepts_Area,udolls_Area,udults_Area
0,0,162,0,0,경상북도 영주시 안정면 오계리,7,0,0,0,7,13,0,4721035033,19,0,315,0,29
0,0,0,0,0,경상북도 영덕군 남정면 사암리,3,0,0,0,0,0,0,4777032042,33,0,937,0,4
15,0,46,0,0,전라남도 영광군 법성면 입암리,22,0,0,0,0,0,0,4687037026,45,0,232,0,0
0,0,107,0,0,전라남도 영광군 법성면 월산리,10,0,0,0,0,0,0,4687037028,15,0,93,0,115
0,0,53,0,0,전라남도 보성군 겸백면 용산리,32,0,0,0,0,0,0,4678033026,4,0,351,0,0
0,0,3,0,0,전라남도 장성군 북하면 동현리,101,0,0,0,38,0,0,4688040030,0,0,194,0,0
0,0,0,0,0,전라남도 장성군 장성읍 용곡리,147,0,0,0,327,0,0,4688025036,5,0,124,0,0
5,1,713,0,0,울산광역시 울주군 온양읍,124,5,0,0,166,16,0,3171025600,136,0,4058,0,1226
0,0,99,0,0,울산광역시 울주군 온양읍 발리,8,3,0,0,1,0,0,3171025621,11,0,392,0,169
0,0,69,0,0,울산광역시 울주군 온양읍 망양리,18,0,0,0,10,12,0,3171025623,44,0,282,0,21
5,1,28,0,0,울산광역시 울주군 온양읍 남창리,16,0,0,0,14,0,0,3171025624,0,0,64,0,0
14,0,42,0,0,경상북도 포항시남구 대송면 송동리,8,0,0,0,0,0,0,4711131026,39,0,11,0,115
36,0,14,0,0,경상북도 포항시남구 대송면 제내리,19,20,0,0,0,0,0,4711131027,0,0,6,0,0
0,0,54,0,0,경상북도 포항시남구 대송면 옥명리,0,0,0,0,0,0,0,4711131028,6,0,2,0,181
0,0,328,0,0,경상북도 포항시남구 동해면,34,55,0,0,118,37,0,4711132000,350,0,3233,0,229
0,0,34,0,0,경상북도 포항시남구 동해면 약전리,0,0,0,0,0,13,0,4711132022,17,0,52,0,0
0,0,9,0,0,충청북도 음성군 맹동면 통동리,44,0,0,0,544,0,0,4377033029,0,0,152,0,0
89,0,1015,0,0,충청북도 음성군 대소면,92,0,0,0,11,0,0,4377034000,194,0,2340,0,74
1,0,46,0,0,충청북도 음성군 맹동면 본성리,1,0,0,0,0,0,0,4377033027,0,0,68,0,0
29,0,369,0,0,경기도 광주시 도척면,99,56,0,0,355,0,0,4161033000,189,0,4114,0,5
29,0,48,0,0,경기도 광주시 도척면 유정리,17,11,0,0,59,0,0,4161033022,22,0,319,0,0
0,0,23,0,0,경기도 화성시 봉담읍 유리,27,0,0,0,0,0,0,4159025332,9,0,120,0,0
0,2,834,0,0,경기도 화성시 봉담읍,124,0,0,0,61,0,0,4159025300,98,0,2988,0,175
0,0,108,0,0,경기도 화성시 봉담읍 내리,3,0,0,0,16,0,0,4159025322,11,0,408,0,0
0,0,89,0,0,경기도 화성시 봉담읍 수영리,2,0,0,0,1,0,0,4159025323,18,0,119,0,74
0,0,38,0,0,경기도 화성시 봉담읍 와우리,0,0,0,0,0,0,0,4159025325,0,0,112,0,6
0,0,33,0,0,경기도 화성시 봉담읍 수기리,5,0,0,0,0,0,0,4159025326,2,0,86,0,0
0,0,56,0,0,경기도 화성시 봉담읍 왕림리,0,0,0,0,0,0,0,4159025328,22,0,194,0,0
