bjd_Nm,stdg_Cd,vldsia_Rfld1_Area,vldsia_Rfld2_Area,vldsia_Rfld3_Area,vldsia_Rfld4_Area,vldsia_Rfld5_Area,vldsia_Rfld6_Area
경기도 연천군 왕징면 동중리,4180035026,0,1,6,0,1,0
경기도 연천군 미산면 백석리,4180034023,0,2,9,1,0,0
충청남도 서산시 음암면 탑곡리,4421037022,8,31,45,22,9,20
충청남도 서산시 지곡면 중왕리,4421034025,2,24,44,19,14,36
충청남도 서산시 지곡면 도성리,4421034026,31,28,30,17,9,17
충청북도 음성군 음성읍 용산리,4377025025,0,3,0,0,0,0
충청북도 음성군 음성읍 감우리,4377025027,-,-,-,-,-,-
충청북도 음성군 음성읍 신천리,4377025029,1,6,0,0,0,0
충청북도 음성군 음성읍 초천리,4377025030,0,4,1,0,0,0
충청북도 음성군 감곡면 상우리,4377037030,3,4,1,1,0,0
충청북도 음성군 감곡면 왕장리,4377037031,8,10,6,3,1,4
경기도 연천군 신서면 내산리,4180036023,-,-,-,-,-,-
경기도 연천군 신서면 답곡리,4180036025,2,3,13,1,0,0
경기도 연천군 신서면 덕산리,4180036029,0,5,13,4,3,6
경기도 연천군 중면,4180037000,2,25,66,2,1,0
경기도 연천군 중면 삼곶리,4180037021,0,0,1,0,1,0
충청남도 부여군 임천면 두곡리,4476041029,9,19,47,19,13,10
충청남도 부여군 세도면 청송리,4476043024,50,46,62,28,5,6
충청남도 부여군 세도면 동사리,4476043025,30,29,38,28,9,13
충청남도 부여군 세도면 간대리,4476043026,24,50,33,20,6,6
충청남도 부여군 세도면 청포리,4476043028,18,22,28,15,6,2
충청남도 부여군 세도면 반조원리,4476043029,5,8,16,7,3,0
충청남도 서천군 마서면 옥북리,4477031029,68,76,27,18,4,3
충청남도 부여군 초촌면 신암리,4476045021,43,54,34,17,10,16
충청남도 부여군 초촌면 소사리,4476045022,10,12,8,2,1,0
충청남도 부여군 초촌면 응평리,4476045024,9,10,11,6,4,2
충청남도 부여군 초촌면 추양리,4476045026,6,12,9,6,1,3
충청남도 부여군 초촌면 송국리,4476045027,4,13,10,5,1,0
충청남도 부여군 초촌면 송정리,4476045029,12,9,9,3,1,2
충청북도 충주시 노은면 문성리,4313036026,1,2,1,2,1,1
충청북도 충주시 노은면 수룡리,4313036028,80,33,6,2,1,1
충청북도 충주시 앙성면 용포리,4313037021,1,2,1,0,0,1
충청북도 충주시 앙성면 영죽리,4313037022,1,3,1,1,1,1
충청북도 충주시 앙성면 강천리,4313037023,1,3,2,1,1,2
충청북도 충주시 앙성면 단암리,4313037024,13,15,14,10,2,4
충청북도 충주시 신니면,4313035000,42,69,57,35,24,36
충청북도 충주시 신니면 용원리,4313035021,1,3,6,2,1,1
충청북도 진천군 광혜원면 구암리,4375037025,4,7,3,1,0,2
충청북도 진천군 광혜원면 광혜원리,4375037027,16,9,9,4,1,2
충청북도 괴산군,4376000000,2196,2970,739,344,203,218
충청북도 괴산군 장연면 오가리,4376032021,5,20,5,1,0,0
충청북도 괴산군 장연면 추점리,4376032022,1,20,4,1,1,1
충청북도 괴산군 장연면 방곡리,4376032023,6,10,5,0,4,0
충청남도 아산시 초사동,4420010500,18,10,4,0,0,1
충청남도 아산시 송악면 종곡리,4420031029,0,1,1,0,0,1
충청남도 아산시 송악면 거산리,4420031030,2,4,1,1,0,1
충청남도 아산시 송악면 강장리,4420031031,6,8,4,1,1,1
충청남도 아산시 송악면 수곡리,4420031032,1,7,3,0,0,2
충청북도 보은군 내북면 이원리,4372039021,12,3,1,5,1,0
충청북도 보은군 내북면 성티리,4372039022,2,1,2,1,2,1
충청북도 보은군 내북면 창리,4372039024,1,1,2,0,1,2
충청북도 보은군 내북면 도원리,4372039025,1,3,1,0,1,1
충청북도 보은군 내북면 대안리,4372039027,0,1,1,1,1,1
충청북도 옥천군 안남면 도덕리,4373032024,5,21,12,9,8,15
충청북도 옥천군 동이면,4373031000,34,37,20,15,8,15
충청북도 옥천군 동이면 세산리,4373031022,3,4,3,1,1,2
충청북도 옥천군 동이면 적하리,4373031023,9,11,6,4,2,4
충청북도 옥천군 동이면 조령리,4373031025,1,1,0,0,0,0
전라남도 진도군 고군면 향동리,4690032030,0,6,9,6,3,10
전라남도 진도군 고군면 금계리,4690032031,0,2,2,1,1,2
전라남도 완도군 약산면 해동리,4689034025,1,34,22,7,3,1
