bjd_Nm,etc_Area,field_Area,forest_Area,fruit_Area,grass_Area,paddy_Area,stdg_Cd
전라남도 영광군 낙월면,59,200,709,59,115,19,4687038000
충청북도 음성군 원남면 주봉리,13,116,161,71,53,71,4377032029
충청북도 음성군 원남면 문암리,4,172,77,91,127,113,4377032030
충청북도 음성군 원남면 조촌리,87,151,825,6,118,76,4377032031
충청북도 음성군 원남면 덕정리,0,96,377,19,57,43,4377032033
충청북도 음성군 맹동면 쌍정리,3,132,98,31,5,101,4377033021
충청북도 음성군 맹동면 인곡리,1,80,74,82,71,56,4377033022
충청북도 음성군 맹동면 봉현리,8,64,0,61,0,135,4377033024
충청북도 음성군 맹동면 신돈리,1,63,0,19,0,36,4377033026
경기도 광주시 도척면 방도리,0,99,22,74,241,117,4161033023
충청남도 아산시 신창면 창암리,3,66,20,95,72,116,4420041023
충청남도 아산시 신창면 황산리,0,57,6,22,89,79,4420041024
충청남도 아산시 신창면 행목리,4,64,0,162,7,87,4420041025
충청남도 아산시 신창면 신달리,22,36,0,20,8,165,4420041027
충청남도 아산시 신창면 남성리,3,183,0,87,0,199,4420041028
충청남도 아산시 신창면 가덕리,36,56,0,54,7,201,4420041030
충청남도 아산시 신창면 신곡리,25,25,0,40,0,158,4420041031
충청남도 서산시,3988,17176,3220,11737,9936,24745,4421000000
충청남도 서산시 읍내동,7,100,0,20,61,44,4421010100
충청남도 서산시 동문동,0,175,0,44,3,86,4421010200
경기도 구리시 토평동,220,361,0,0,0,8,4131010700
경기도 화성시 봉담읍 마하리,3,24,12,26,18,37,4159025331
전라남도 신안군 비금면 죽림리,43,32,27,39,147,241,4691034030
부산광역시 강서구 녹산동,71,76,205,9,75,93,2644011100
부산광역시 강서구 구랑동,8,26,135,69,136,117,2644011300
부산광역시 강서구 지사동,22,36,739,60,270,100,2644011400
부산광역시 강서구 범방동,46,19,27,30,73,238,2644011600
부산광역시 강서구 신호동,366,42,0,0,0,0,2644011700
경기도 화성시 팔탄면 지월리,6,11,42,20,45,82,4159036029
경기도 화성시 서신면 송교리,26,78,5,43,27,151,4159035025
경기도 화성시 송산면 용포리,24,76,0,23,3,160,4159034024
경기도 화성시 송산면 고정리,148,205,0,20,21,278,4159034025
경기도 화성시 송산면 천등리,3,58,27,53,35,52,4159034027
경기도 화성시 송산면 신천리,10,62,28,4,17,104,4159034028
