bjd_Nm,crush_Stone_Area,etc_Area,except_Area,low_Moist_Area,none_Area,rock_Area,salt_Area,sand_Area,slope_Area,spaicd_Area,stdg_Cd,stone_Power_Area,unripe_Area,volcano_Area
경상남도 합천군 대양면 덕정리,0,9,267,9,20,0,0,2,72,0,4889041025,1,18,0
경상남도 김해시 진례면 신안리,0,24,649,0,0,0,0,0,79,0,4825033025,30,18,0
경상남도 김해시 진례면 산본리,0,13,387,0,0,0,0,2,126,0,4825033026,21,16,0
경상남도 김해시 진례면 신월리,0,4,116,0,0,0,0,4,29,0,4825033027,87,0,0
경상남도 김해시 진례면 담안리,0,13,154,0,27,0,0,27,117,0,4825033029,7,89,0
경상남도 김해시 한림면,0,527,3108,0,818,0,0,99,684,0,4825034000,91,597,0
경상남도 김해시 한림면 명동리,0,11,289,0,2,0,0,0,117,0,4825034021,0,29,0
경상남도 김해시 한림면 병동리,0,11,344,0,25,0,0,8,97,0,4825034023,9,38,0
충청남도 보령시 미산면 늑전리,0,16,344,18,0,0,0,0,45,0,4418039025,0,4,0
충청남도 보령시 미산면 도흥리,0,0,851,0,0,0,0,0,28,0,4418039026,0,39,0
충청남도 보령시 미산면 봉성리,0,6,297,12,0,0,0,0,33,0,4418039027,3,22,0
충청남도 보령시 미산면 은현리,0,0,198,37,0,0,0,0,27,0,4418039029,0,0,0
충청남도 보령시 미산면 내평리,0,4,268,25,0,0,0,0,25,0,4418039030,0,21,0
충청남도 논산시 노성면 죽림리,0,0,38,14,9,0,0,41,123,0,4423033026,0,51,0
충청남도 논산시 광석면 갈산리,0,0,15,10,151,0,0,144,26,0,4423032024,0,18,0
충청남도 논산시 광석면 광리,0,0,0,0,98,0,0,35,0,0,4423032025,0,2,0
충청남도 논산시 광석면 산동리,0,0,0,3,172,0,0,69,0,0,4423032027,0,0,0
충청남도 논산시 광석면 왕전리,0,3,34,0,54,0,0,149,25,0,4423032029,0,10,0
충청남도 논산시 광석면 항월리,0,7,67,0,20,0,0,147,42,0,4423032030,0,7,0
경상북도 안동시 일직면 조탑리,0,33,548,0,0,0,0,17,57,0,4717035030,15,38,0
경상북도 안동시 풍천면 금계리,0,8,624,0,0,0,0,0,34,0,4717034027,44,39,0
경상북도 안동시 풍천면 구호리,0,12,429,0,0,0,0,6,29,0,4717034028,0,31,0
경상북도 안동시 풍천면 어담리,0,8,1369,0,0,0,0,0,166,0,4717034029,22,61,0
경상북도 안동시 풍천면 가곡리,0,21,118,6,4,0,0,16,156,0,4717034031,0,102,0
경상북도 안동시 풍천면 하회리,0,95,216,0,0,0,0,9,172,0,4717034033,0,81,0
경상북도 안동시 일직면,0,341,6376,12,82,0,0,489,807,0,4717035000,133,332,0
경상북도 안동시 일직면 귀미리,0,64,592,0,0,0,0,53,63,0,4717035021,2,50,0
경상북도 안동시 일직면 망호리,0,14,222,0,0,0,0,33,74,0,4717035023,5,62,0
경상북도 영천시 조교동,0,36,9,0,72,0,0,46,27,0,4723010100,0,40,0
경상북도 영천시 야사동,0,5,110,0,0,0,0,4,84,0,4723010300,0,37,0
경상북도 영천시 문외동,0,0,27,0,0,0,0,4,25,0,4723010500,0,7,0
경상북도 영주시 안정면 대평리,0,7,69,7,20,0,0,9,47,0,4721035032,0,0,0
경상북도 영주시 안정면 오계리,0,7,296,58,17,0,0,33,133,0,4721035033,7,0,0
경상북도 영덕군 남정면 사암리,0,3,923,0,0,0,0,0,42,0,4777032042,0,9,0
전라남도 영광군 법성면 입암리,0,22,234,5,15,0,37,0,47,0,4687037026,0,0,0
전라남도 영광군 법성면 월산리,0,10,71,21,19,0,0,9,200,0,4687037028,0,10,0
전라남도 보성군 겸백면 용산리,0,32,248,12,0,0,0,0,144,0,4678033026,0,6,0
전라남도 장성군 북하면 동현리,0,101,232,0,0,0,0,0,3,0,4688040030,1,0,0
전라남도 장성군 장성읍 용곡리,0,147,451,0,0,0,0,0,5,0,4688025036,0,0,0
울산광역시 울주군 온양읍,0,124,4842,12,154,0,0,32,1074,0,3171025600,88,123,0
울산광역시 울주군 온양읍 발리,0,8,455,4,30,0,0,4,157,0,3171025621,1,24,0
울산광역시 울주군 온양읍 망양리,0,18,298,0,0,0,0,12,93,0,3171025623,3,32,0
울산광역시 울주군 온양읍 남창리,0,16,69,1,30,0,0,1,7,0,3171025624,0,3,0
경상북도 포항시남구 대송면 송동리,0,8,104,2,17,0,4,9,83,0,4711131026,0,1,0
경상북도 포항시남구 대송면 제내리,0,19,0,2,36,0,12,26,0,0,4711131027,0,0,0
경상북도 포항시남구 대송면 옥명리,0,0,182,0,0,0,0,0,61,0,4711131028,0,0,0
경상북도 포항시남구 동해면,0,34,3263,3,33,0,0,19,808,0,4711132000,69,158,0
경상북도 포항시남구 동해면 약전리,0,0,54,1,15,0,0,3,25,0,4711132022,0,18,0
충청북도 음성군 맹동면 통동리,0,44,664,0,0,0,0,0,9,0,4377033029,33,0,0
충청북도 음성군 대소면,0,92,539,252,248,0,0,1855,544,0,4377034000,3,281,0
충청북도 음성군 맹동면 본성리,0,1,22,26,0,0,0,51,15,0,4377033027,0,1,0
경기도 광주시 도척면,0,99,3877,40,19,0,0,601,345,0,4161033000,134,100,0
경기도 광주시 도척면 유정리,0,17,315,0,19,0,0,65,49,0,4161033022,12,29,0
경기도 화성시 봉담읍 유리,0,27,95,4,0,0,0,8,31,0,4159025332,6,8,0
경기도 화성시 봉담읍,0,124,2170,156,19,0,0,651,924,0,4159025300,61,175,0
경기도 화성시 봉담읍 내리,0,3,330,14,6,0,0,76,93,0,4159025322,6,17,0
경기도 화성시 봉담읍 수영리,0,2,29,31,4,0,0,52,132,0,4159025323,2,51,0
경기도 화성시 봉담읍 와우리,0,0,58,0,0,0,0,39,52,0,4159025325,0,7,0
경기도 화성시 봉담읍 수기리,0,5,41,6,0,0,0,30,42,0,4159025326,0,2,0
경기도 화성시 봉담읍 왕림리,0,0,131,5,0,0,0,47,73,0,4159025328,13,3,0
경기도 화성시 봉담읍 세곡리,0,2,113,0,0,0,0,7,11,0,4159025329,10,0,0
전라남도 신안군 자은면 유천리,0,24,367,0,7,0,72,15,62,0,4691033024,25,9,0
전라남도 신안군 자은면 유각리,0,43,289,0,42,0,66,53,133,0,4691033025,5,45,0
전라남도 신안군 자은면 면전리,0,10,137,0,42,0,0,14,44,0,4691033026,7,2,0
전라남도 신안군 자은면 고장리,0,29,397,0,71,0,0,136,101,0,4691033028,8,9,0
전라남도 신안군 자은면 구영리,0,8,203,0,56,0,0,31,72,0,4691033029,32,30,0
전라남도 신안군 비금면 광대리,0,22,301,0,0,0,0,35,74,0,4691034021,0,15,0
전라남도 신안군 비금면 용소리,0,6,15,0,0,0,19,155,2,0,4691034022,0,0,0
전라남도 신안군 비금면 가산리,0,36,150,0,11,0,165,39,20,0,4691034024,0,1,0
전라남도 신안군 비금면 덕산리,0,39,189,0,0,0,82,67,28,0,4691034025,3,3,0
전라남도 신안군 비금면 구림리,0,43,160,0,0,0,84,105,10,0,4691034027,0,0,0
전라남도 신안군 비금면 신원리,0,15,130,0,0,0,0,78,29,0,4691034028,0,2,0
부산광역시 강서구 죽림동,0,35,8,0,68,0,2,4,4,62,2644010500,0,18,0
부산광역시 강서구 식만동,0,34,6,0,19,0,0,44,0,146,2644010600,0,7,0
부산광역시 강서구 죽동동,0,35,4,0,89,0,0,1,0,314,2644010700,0,8,0
부산광역시 강서구 봉림동,0,261,7,0,350,0,29,77,3,242,2644010800,0,24,0
부산광역시 강서구 화전동,0,110,79,0,10,0,8,42,14,90,2644011000,0,2,0
경기도 화성시 팔탄면 덕우리,0,0,152,4,9,0,0,28,42,0,4159036030,0,13,0
경기도 화성시 서신면 제부리,0,24,77,0,1,0,7,31,3,0,4159035026,0,3,0
경기도 화성시 서신면 홍법리,0,0,159,19,18,0,25,13,33,0,4159035027,0,22,0
경기도 화성시 서신면 매화리,0,22,73,15,11,0,126,9,86,0,4159035029,0,26,0
경기도 화성시 서신면 용두리,0,4,198,25,70,0,53,2,83,0,4159035030,0,25,0
경기도 화성시 서신면 백미리,0,12,183,8,38,0,26,14,70,0,4159035032,0,19,0
경기도 화성시 팔탄면,0,220,2408,240,408,0,27,706,696,0,4159036000,74,312,0
경기도 화성시 팔탄면 창곡리,0,0,187,19,0,0,0,24,56,0,4159036022,7,35,0
경기도 화성시 팔탄면 기천리,0,46,290,0,0,0,0,57,36,0,4159036023,47,10,0
경기도 화성시 팔탄면 구장리,0,8,261,20,42,0,0,115,39,0,4159036025,13,5,0
경기도 화성시 팔탄면 율암리,0,25,238,31,0,0,0,60,112,0,4159036026,0,72,0
경기도 화성시 팔탄면 덕천리,0,8,172,16,0,0,0,43,30,0,4159036028,0,7,0
전라남도 순천시 낙안면 평촌리,0,3,0,0,0,0,0,4,15,0,4615038029,0,69,0
전라남도 구례군 마산면 황전리,0,21,1456,0,0,0,0,3,69,0,4673034024,35,48,0
전라남도 구례군 마산면 갑산리,0,3,30,0,0,0,0,2,31,0,4673034025,0,189,0
전라남도 구례군 광의면,0,88,1961,0,0,0,0,324,509,0,4673035000,128,353,0
전라남도 구례군 광의면 연파리,0,9,13,0,0,0,0,44,28,0,4673035021,11,11,0
전라남도 구례군 광의면 대산리,0,14,0,0,0,0,0,55,10,0,4673035023,69,19,0
전라남도 구례군 광의면 지천리,0,15,27,0,0,0,0,88,4,0,4673035024,29,135,0
전라남도 구례군 광의면 대전리,0,3,71,0,0,0,0,52,68,0,4673035026,0,9,0
전라남도 구례군 광의면 온당리,0,7,400,0,0,0,0,36,200,0,4673035027,0,17,0
전라남도 구례군 용방면,0,69,1297,0,0,0,0,464,453,0,4673036000,55,121,0
전라남도 구례군 용방면 신지리,0,16,24,0,0,0,0,58,24,0,4673036022,13,33,0
경상남도 창녕군 영산면 신제리,0,60,169,0,67,0,0,9,132,0,4874038027,0,5,0
경상남도 창녕군 영산면 월령리,0,20,43,0,221,0,0,10,51,0,4874038028,0,81,0
경상남도 창녕군 장마면,0,159,1577,78,193,0,0,165,605,0,4874039000,25,190,0
경상남도 창녕군 장마면 강리,0,17,43,37,0,0,0,49,17,0,4874039021,18,9,0
경상북도 영천시 고경면 창상리,0,15,19,0,0,0,0,31,49,0,4723038023,3,30,0
경상북도 영천시 고경면 대의리,0,15,302,0,0,0,0,37,94,0,4723038024,0,6,0
경상북도 영천시 고경면 오류리,0,15,473,0,0,0,0,0,132,0,4723038026,2,9,0
경상북도 영천시 고경면 고도리,0,5,343,0,0,0,0,1,88,0,4723038027,0,5,0
경상북도 영천시 고경면 용전리,0,22,590,0,39,0,0,37,190,0,4723038029,0,17,0
경상북도 영천시 고경면 상리리,0,8,196,0,7,0,0,3,88,0,4723038031,0,23,0
경상북도 영천시 고경면 학리,0,3,400,0,0,0,0,0,115,0,4723038032,0,8,0
경상북도 영천시 북안면 원당리,0,2,226,0,0,0,0,0,62,0,4723039039,0,3,0
경상남도 사천시 정동면 수청리,0,12,152,0,0,0,0,36,13,0,4824031025,3,8,0
경상남도 사천시 사천읍 선인리,0,0,34,0,52,0,0,0,24,0,4824025021,0,11,0
경상남도 사천시 사천읍 정의리,0,0,11,0,13,0,0,0,20,0,4824025022,0,0,0
경상남도 사천시 사천읍 수석리,0,2,2,0,140,0,0,2,19,0,4824025024,0,0,0
경상남도 사천시 사천읍 사주리,0,9,25,0,56,0,0,15,26,0,4824025025,0,0,0
경상남도 사천시 사천읍 중선리,0,14,0,0,108,0,26,36,0,0,4824025027,0,0,0
경상남도 사천시 사천읍 구암리,0,7,441,0,18,0,0,13,186,0,4824025028,0,17,0
경상남도 사천시 사천읍 금곡리,0,5,270,0,0,0,0,0,32,0,4824025030,1,7,0
경상남도 사천시 사천읍 두량리,0,50,437,0,36,0,0,5,123,0,4824025031,0,27,0
경상남도 사천시 정동면 예수리,0,16,132,0,14,0,0,17,72,0,4824031022,12,2,0
경상남도 사천시 정동면 화암리,0,1,109,0,54,0,0,0,39,0,4824031023,0,16,0
경상남도 사천시 사천읍,0,107,1607,0,510,0,29,90,540,0,4824025000,1,89,0
경상북도 영천시 청통면 신학리,0,8,50,0,21,0,0,25,32,0,4723031029,3,38,0
경상북도 영천시 청통면 애련리,0,10,344,0,0,0,0,0,105,0,4723031031,32,17,0
경상북도 영천시 청통면 계포리,0,9,54,0,2,0,0,14,40,0,4723031032,2,31,0
경상북도 영천시 청통면 신원리,0,18,964,0,6,0,0,12,63,0,4723031034,15,15,0
경상북도 영천시 신녕면,0,205,6371,0,88,0,0,229,787,0,4723032000,290,112,0
경상북도 영천시 신녕면 치산리,0,33,1828,0,0,0,0,0,82,0,4723032021,57,10,0
경상북도 영천시 신녕면 화서리,0,6,513,0,0,0,0,1,114,0,4723032023,0,11,0
경상북도 영천시 신녕면 왕산리,0,41,805,0,0,0,0,59,40,0,4723032025,30,10,0
경상북도 영천시 임고면 우항리,0,30,61,0,6,0,0,64,35,0,4723037031,14,102,0
경상북도 영천시 자양면 용산리,0,106,943,0,0,0,0,0,22,0,4723036025,11,6,0
경상북도 영천시 자양면 성곡리,0,184,409,0,0,0,0,0,61,0,4723036028,0,4,0
경상남도 김해시 진영읍 하계리,0,3,234,0,0,0,0,0,78,0,4825025022,0,7,0
경상남도 김해시 진영읍 방동리,0,2,65,0,4,0,0,0,20,0,4825025023,0,4,0
전라남도 보성군 미력면,0,143,1774,52,120,0,0,157,715,0,4678032000,0,110,0
전라남도 보성군 미력면 도개리,0,18,151,0,51,0,0,39,43,0,4678032021,0,28,0
전라남도 보성군 미력면 미력리,0,1,428,0,0,0,0,5,85,0,4678032022,0,18,0
전라남도 보성군 미력면 용정리,0,26,216,0,29,0,0,10,122,0,4678032024,0,13,0
전라남도 보성군 미력면 덕림리,0,30,131,36,13,0,0,10,90,0,4678032025,0,10,0
전라남도 보성군 미력면 초당리,0,3,193,0,0,0,0,32,80,0,4678032027,0,24,0
전라남도 보성군 겸백면,0,222,3182,37,79,0,0,98,1046,0,4678033000,0,94,0
전라남도 보성군 겸백면 운림리,0,60,339,0,0,0,0,13,138,0,4678033022,0,10,0
전라남도 보성군 겸백면 은덕리,0,9,402,0,0,0,0,3,111,0,4678033023,0,5,0
경상북도 포항시남구 대송면,0,71,2462,32,143,0,17,54,422,0,4711131000,38,26,0
경상북도 포항시남구 대송면 공수리,0,1,29,0,31,0,0,2,14,0,4711131021,0,2,0
경상북도 포항시남구 대송면 홍계리,0,1,286,0,0,0,0,0,41,0,4711131023,8,10,0
경상북도 포항시남구 대송면 산여리,0,7,784,0,0,0,0,1,14,0,4711131024,0,0,0
경상북도 포항시북구 남빈동,0,0,3,0,0,0,3,0,0,0,4711310300,0,0,0
경상북도 포항시북구 상원동,0,0,3,0,0,0,3,0,0,0,4711310400,0,0,0
경상북도 포항시남구 오천읍 항사리,0,76,1787,0,0,0,0,3,25,0,4711125623,16,6,0
경상북도 포항시남구 장기면 대진리,0,7,100,0,0,0,8,4,27,0,4711133035,0,1,0
경상북도 포항시남구 장기면 학계리,0,4,123,0,2,0,0,22,19,0,4711133037,7,2,0
경상북도 포항시남구 장기면 학곡리,0,6,228,0,0,0,11,17,49,0,4711133038,11,7,0
경상북도 포항시남구 장기면 창지리,0,3,195,0,6,0,0,0,64,0,4711133040,4,3,0
전라남도 영광군 낙월면 하낙월리,0,0,51,0,0,0,0,0,5,0,4687038022,0,0,0
전라남도 영광군 낙월면 임병리,0,8,28,0,0,0,0,0,1,0,4687038023,0,0,0
전라남도 영광군 낙월면 월촌리,0,3,113,0,0,0,0,0,58,0,4687038025,0,0,0
전라남도 영광군 낙월면 신기리,0,5,154,0,0,0,0,0,47,0,4687038026,0,0,0
전라남도 영광군 낙월면 석만리,0,2,49,0,0,0,0,0,2,0,4687038028,0,0,0
경기도 광주시 쌍령동,0,13,238,6,0,0,0,38,38,0,4161010200,0,0,0
경기도 광주시 송정동,0,12,335,5,0,0,0,93,52,0,4161010300,8,2,0
경기도 광주시 회덕동,0,3,269,0,0,0,0,57,20,0,4161010400,0,0,0
경기도 광주시 목현동,0,1,809,0,0,0,0,26,35,0,4161010600,16,0,0
경기도 광주시 삼동,0,1,331,0,0,0,0,51,42,0,4161010700,0,0,0
경기도 광주시 직동,0,0,525,9,0,0,0,38,14,0,4161010900,9,1,0
경기도 광주시 태전동,0,16,305,10,0,0,0,121,20,0,4161011000,6,9,0
경기도 광주시 장지동,0,20,140,1,1,0,0,156,21,0,4161011100,16,3,0
경기도 광주시 목동,0,3,502,0,0,0,0,51,21,0,4161011300,21,0,0
경상북도 영주시 안정면 옹암리,0,0,116,0,17,0,0,3,64,0,4721035030,0,0,0
경상북도 영천시 녹전동,0,18,72,0,18,0,0,34,67,0,4723012100,0,52,0
경상북도 영천시 도림동,0,15,369,0,27,0,0,6,172,0,4723012200,0,1,0
경상북도 영주시 안정면 동촌리,0,7,158,50,0,0,0,16,71,0,4721035034,7,5,0
경상북도 영주시 장수면 소룡리,0,7,251,47,0,0,0,21,90,0,4721034026,0,0,0
경상북도 영주시 장수면 호문리,0,8,265,70,0,0,0,28,110,0,4721034027,0,0,0
경상북도 영주시 장수면 파지리,0,0,129,15,0,0,0,3,56,0,4721034028,0,0,0
경상북도 영주시 안정면 신전리,0,8,39,0,44,0,0,9,31,0,4721035021,0,6,0
경상북도 영주시 안정면 봉암리,0,1,188,0,0,0,0,2,78,0,4721035023,0,2,0
경상북도 영주시 안정면 용산리,0,0,389,36,0,0,0,28,160,0,4721035024,0,0,0
경상북도 영주시 안정면 묵리,0,4,227,38,0,0,0,20,54,0,4721035026,0,0,0
경상북도 영주시 안정면 내줄리,0,20,153,31,43,0,0,42,50,0,4721035027,5,2,0
전라남도 보성군 겸백면 남양리,0,21,222,0,56,0,0,12,145,0,4678033027,0,19,0
전라남도 보성군 겸백면 사곡리,0,3,270,0,8,0,0,0,71,0,4678033028,0,5,0
경상북도 청송군 청송읍 월막리,0,23,261,0,0,0,0,43,33,0,4775025021,0,0,0
경기도 성남시수정구,0,109,2741,38,9,0,0,1254,178,0,4113100000,38,171,0
경기도 성남시수정구 신흥동,0,2,121,0,0,0,0,55,0,0,4113110100,0,0,0
경기도 성남시수정구 수진동,0,3,55,0,0,0,0,67,1,0,4113110300,0,0,0
경기도 성남시수정구 단대동,0,0,42,0,0,0,0,38,0,0,4113110400,0,0,0
경기도 성남시수정구 양지동,0,0,104,0,0,0,0,9,13,0,4113110600,0,0,0
경기도 성남시수정구 복정동,0,11,166,2,9,0,0,153,19,0,4113110700,6,12,0
경기도 성남시수정구 신촌동,0,5,8,5,0,0,0,59,2,0,4113110900,0,0,0
경기도 성남시수정구 오야동,0,10,32,0,0,0,0,75,2,0,4113111000,0,0,0
경상북도 포항시남구 동해면 금광리,0,3,288,0,4,0,0,0,105,0,4711132023,3,4,0
경상북도 포항시남구 동해면 석리,0,1,172,0,0,0,0,0,42,0,4711132025,0,2,0
경상북도 포항시남구 동해면 임곡리,0,0,145,0,0,0,0,0,44,0,4711132026,0,5,0
경상북도 포항시남구 동해면 마산리,0,1,200,0,0,0,0,1,26,0,4711132028,0,0,0
경상북도 포항시남구 동해면 중흥리,0,1,374,0,0,0,0,0,22,0,4711132030,8,5,0
경상북도 포항시남구 동해면 발산리,0,8,625,0,0,0,0,4,22,0,4711132031,2,9,0
경상북도 포항시남구 오천읍 진전리,0,43,1279,0,0,0,0,0,30,0,4711125624,5,4,0
경상북도 포항시남구 오천읍 갈평리,0,27,840,0,0,0,0,10,74,0,4711125625,24,8,0
경상북도 포항시남구 오천읍 용산리,0,14,237,0,0,0,0,6,19,0,4711125627,23,9,0
경상북도 포항시남구 오천읍 광명리,0,2,216,0,0,0,0,0,86,0,4711125628,16,5,0
경상북도 포항시남구 오천읍 용덕리,0,7,5,0,0,0,0,69,5,0,4711125630,0,111,0
전라남도 영광군 법성면 용덕리,0,4,88,38,2,0,14,0,119,0,4687037030,0,22,0
전라남도 영광군 법성면 삼당리,0,14,65,19,60,0,28,41,85,0,4687037031,0,3,0
전라남도 영광군 낙월면,0,59,937,0,0,0,0,0,163,0,4687038000,0,2,0
충청북도 음성군 원남면 주봉리,0,13,285,0,0,0,0,78,110,0,4377032029,0,0,0
충청북도 음성군 원남면 문암리,0,4,295,0,0,0,0,117,158,0,4377032030,0,12,0
충청북도 음성군 원남면 조촌리,0,87,973,0,0,0,0,146,32,0,4377032031,20,5,0
충청북도 음성군 원남면 덕정리,0,0,454,0,0,0,0,95,36,0,4377032033,0,8,0
충청북도 음성군 맹동면 쌍정리,0,3,134,43,0,0,0,122,30,0,4377033021,3,36,0
충청북도 음성군 맹동면 인곡리,0,1,227,11,0,0,0,78,45,0,4377033022,0,0,0
충청북도 음성군 맹동면 봉현리,0,8,61,24,29,0,0,122,24,0,4377033024,0,0,0
충청북도 음성군 맹동면 신돈리,0,1,19,16,0,0,0,69,14,0,4377033026,0,1,0
경기도 광주시 도척면 방도리,0,0,341,8,0,0,0,114,51,0,4161033023,5,34,0
충청남도 아산시 신창면 창암리,0,3,191,0,30,0,0,61,74,0,4420041023,0,13,0
충청남도 아산시 신창면 황산리,0,0,118,0,10,0,0,27,75,0,4420041024,0,22,0
충청남도 아산시 신창면 행목리,0,4,169,0,0,0,0,53,92,0,4420041025,0,6,0
충청남도 아산시 신창면 신달리,0,22,28,0,114,0,0,33,46,0,4420041027,0,7,0
충청남도 아산시 신창면 남성리,0,3,87,0,77,0,0,12,261,0,4420041028,0,32,0
충청남도 아산시 신창면 가덕리,0,36,61,0,62,0,0,88,77,0,4420041030,0,30,0
충청남도 아산시 신창면 신곡리,0,25,40,0,23,0,0,97,62,0,4420041031,0,1,0
충청남도 서산시,0,3988,25609,1581,1660,0,9576,2567,16919,0,4421000000,398,8506,0
충청남도 서산시 읍내동,0,7,81,9,0,0,0,5,78,0,4421010100,0,51,0
충청남도 서산시 동문동,0,0,47,0,20,0,0,43,68,0,4421010200,0,131,0
경기도 구리시 토평동,0,220,51,0,0,0,0,273,0,0,4131010700,0,45,0
경기도 화성시 봉담읍 마하리,0,3,56,11,0,0,0,40,9,0,4159025331,0,1,0
전라남도 신안군 비금면 죽림리,0,43,230,0,0,0,83,153,18,0,4691034030,0,2,0
부산광역시 강서구 녹산동,0,71,293,0,4,0,6,69,36,44,2644011100,0,5,0
부산광역시 강서구 구랑동,0,8,349,28,17,0,0,17,69,4,2644011300,1,1,0
부산광역시 강서구 지사동,0,22,1083,0,0,0,0,1,72,0,2644011400,28,21,0
부산광역시 강서구 범방동,0,46,140,10,81,0,0,6,11,132,2644011600,0,7,0
부산광역시 강서구 신호동,0,366,0,0,0,0,0,42,0,0,2644011700,0,0,0
경기도 화성시 팔탄면 지월리,0,6,107,7,6,0,0,51,26,0,4159036029,4,0,0
경기도 화성시 서신면 송교리,0,26,75,9,19,0,109,26,45,0,4159035025,0,21,0
경기도 화성시 송산면 용포리,0,24,26,0,80,0,45,50,58,0,4159034024,0,3,0
경기도 화성시 송산면 고정리,0,148,42,0,88,0,146,29,158,0,4159034025,0,60,0
