bjd_Nm,etc_Area,field_Grade1_Area,field_Grade2_Area,field_Grade3_Area,field_Grade4_Area,field_Grade5_Area,stdg_Cd
부산광역시 강서구 화전동,110,0,2,57,64,123,2644011000
경기도 화성시 팔탄면 덕우리,0,0,34,43,37,134,4159036030
경기도 화성시 서신면 제부리,24,0,3,35,31,53,4159035026
경기도 화성시 서신면 홍법리,0,0,29,52,71,137,4159035027
경기도 화성시 서신면 매화리,22,0,30,97,45,174,4159035029
경기도 화성시 서신면 용두리,4,0,23,152,125,156,4159035030
경기도 화성시 서신면 백미리,12,4,19,112,114,108,4159035032
경기도 화성시 팔탄면,220,0,604,1147,1088,2033,4159036000
경기도 화성시 팔탄면 창곡리,0,0,44,64,60,161,4159036022
경기도 화성시 팔탄면 기천리,46,0,48,87,52,251,4159036023
경기도 화성시 팔탄면 구장리,8,0,74,125,55,240,4159036025
경기도 화성시 팔탄면 율암리,25,0,78,165,83,188,4159036026
경기도 화성시 팔탄면 덕천리,8,0,24,52,68,124,4159036028
전라남도 순천시 낙안면 평촌리,3,0,69,18,0,0,4615038029
전라남도 구례군 마산면 황전리,21,0,64,114,111,1323,4673034024
전라남도 구례군 마산면 갑산리,3,0,189,33,30,0,4673034025
전라남도 구례군 광의면,88,0,459,784,212,1820,4673035000
전라남도 구례군 광의면 연파리,9,0,28,56,24,0,4673035021
전라남도 구례군 광의면 대산리,14,0,52,83,17,0,4673035023
전라남도 구례군 광의면 지천리,15,0,147,80,56,0,4673035024
전라남도 구례군 광의면 대전리,3,0,30,98,10,61,4673035026
전라남도 구례군 광의면 온당리,7,0,33,209,52,360,4673035027
전라남도 구례군 용방면,69,24,252,782,307,1026,4673036000
전라남도 구례군 용방면 신지리,16,16,36,64,37,0,4673036022
경상남도 창녕군 영산면 신제리,60,0,10,195,47,131,4874038027
경상남도 창녕군 영산면 월령리,20,0,148,213,20,24,4874038028
경상남도 창녕군 장마면,159,2,268,852,206,1505,4874039000
경상남도 창녕군 장마면 강리,17,0,13,62,18,80,4874039021
경상북도 영천시 고경면 창상리,15,31,30,40,21,9,4723038023
경상북도 영천시 고경면 대의리,15,37,20,64,53,265,4723038024
경상북도 영천시 고경면 오류리,15,0,16,116,33,451,4723038026
경상북도 영천시 고경면 고도리,5,1,5,77,24,329,4723038027
경상북도 영천시 고경면 용전리,22,34,63,161,95,521,4723038029
경상북도 영천시 고경면 상리리,8,3,34,74,26,179,4723038031
경상북도 영천시 고경면 학리,3,0,20,96,47,360,4723038032
경상북도 영천시 북안면 원당리,2,0,2,53,28,208,4723039039
경상남도 사천시 정동면 수청리,12,0,44,15,22,131,4824031025
경상남도 사천시 사천읍 선인리,0,0,11,32,66,12,4824025021
경상남도 사천시 사천읍 정의리,0,0,11,22,11,0,4824025022
경상남도 사천시 사천읍 수석리,2,0,1,161,0,2,4824025024
경상남도 사천시 사천읍 사주리,9,5,10,80,16,11,4824025025
