bjd_Nm,stdg_Cd,vldpha_Fachs1_Area,vldpha_Fachs2_Area,vldpha_Fachs3_Area,vldpha_Fachs4_Area,vldpha_Fachs5_Area,vldpha_Fachs6_Area,vldpha_Fruit1_Area,vldpha_Fruit2_Area,vldpha_Fruit3_Area,vldpha_Fruit4_Area,vldpha_Fruit5_Area,vldpha_Fruit6_Area,vldpha_Pfld1_Area,vldpha_Pfld2_Area,vldpha_Pfld3_Area,vldpha_Pfld4_Area,vldpha_Pfld5_Area,vldpha_Pfld6_Area,vldpha_Rfld1_Area,vldpha_Rfld2_Area,vldpha_Rfld3_Area,vldpha_Rfld4_Area,vldpha_Rfld5_Area,vldpha_Rfld6_Area
경상북도 포항시남구 호미곶면 강사리,4711135021,0,0,0,0,0,1,-,-,-,-,-,-,5,4,29,3,5,49,11,2,3,1,0,1
경상북도 포항시남구 호미곶면 대보리,4711135022,-,-,-,-,-,-,-,-,-,-,-,-,5,1,4,4,3,116,9,1,1,1,1,0
경상북도 포항시남구 호미곶면 구만리,4711135023,0,0,0,0,0,2,-,-,-,-,-,-,23,11,32,47,14,288,0,1,0,0,0,0
경상북도 포항시남구 호미곶면 대동배리,4711135024,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,2,-,-,-,-,-,-
경상남도 김해시 구산동,4825010600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
경상남도 김해시 이동,4825011300,0,0,0,0,0,3,-,-,-,-,-,-,1,0,0,0,0,17,44,46,38,12,6,6
경상남도 김해시 강동,4825011600,0,0,1,1,1,2,-,-,-,-,-,-,1,1,1,0,0,2,4,7,14,6,2,2
경상남도 김해시 삼방동,4825011900,-,-,-,-,-,-,-,-,-,-,-,-,3,0,0,0,0,2,-,-,-,-,-,-
경상남도 김해시 진영읍,4825025000,0,1,1,2,1,19,28,18,52,8,7,111,11,8,4,9,12,167,145,471,574,298,34,46
경상남도 김해시 진영읍 우동리,4825025021,-,-,-,-,-,-,8,1,1,0,2,12,0,0,0,0,1,4,26,42,29,10,3,5
경상남도 김해시 진영읍 사산리,4825025024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,51,55,28,1,2
경상남도 김해시 진영읍 본산리,4825025028,0,0,0,0,0,3,0,0,0,1,3,15,7,4,0,4,3,32,45,132,111,68,16,12
경상남도 김해시 진영읍 설창리,4825025030,0,1,0,0,0,8,0,0,43,0,0,3,1,0,0,0,1,14,4,22,13,3,0,1
경상남도 김해시 진영읍 의전리,4825025033,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,10,15,6,0,2
경기도 수원시권선구 평리동,4111313000,-,-,-,-,-,-,0,0,0,3,0,7,-,-,-,-,-,-,2,17,11,6,1,1
경기도 수원시권선구 서둔동,4111313100,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,1,1,0,1,0,0
경기도 수원시권선구 구운동,4111313200,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,10,57,39,10,2,1
경기도 수원시권선구 탑동,4111313300,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,3,23,35,14,7,8
경기도 수원시권선구 금곡동,4111313400,0,0,0,0,0,3,-,-,-,-,-,-,0,0,0,0,1,1,9,25,13,4,1,2
경기도 수원시권선구 호매실동,4111313500,0,0,0,1,1,9,-,-,-,-,-,-,2,1,0,0,0,4,10,27,34,14,3,5
경기도 수원시권선구 곡반정동,4111313600,0,1,0,0,0,0,-,-,-,-,-,-,1,0,0,0,0,0,5,3,3,2,0,0
경기도 수원시권선구 권선동,4111313700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,0,0,0
경기도 수원시권선구 장지동,4111313800,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,4,24,12,4,1,1
경기도 수원시권선구 대황교동,4111313900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,0,0
경기도 수원시권선구 입북동,4111314000,0,0,0,0,0,17,0,0,0,0,0,1,4,1,1,0,0,2,49,79,38,18,8,5
경기도 수원시권선구 당수동,4111314100,0,0,0,0,0,5,-,-,-,-,-,-,2,0,2,1,2,11,24,40,13,2,1,1
경기도 양주시 은현면 운암리,4163031023,0,0,0,0,0,3,-,-,-,-,-,-,1,3,0,2,1,24,10,16,6,3,2,0
경기도 양주시 은현면 봉암리,4163031024,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,1,6,5,11,10,7,3,2
경기도 양주시 은현면 하패리,4163031025,0,0,0,0,0,28,0,0,0,0,0,1,4,2,1,1,2,54,8,19,9,6,3,2
경기도 양주시 은현면 도하리,4163031026,0,0,0,0,0,17,-,-,-,-,-,-,9,4,1,1,1,28,7,23,16,5,2,1
경기도 양주시 남면,4163032000,0,1,0,0,1,67,6,0,0,0,4,1,7,6,8,10,10,116,25,93,101,68,35,47
경기도 양주시 남면 신산리,4163032021,0,0,0,0,0,4,-,-,-,-,-,-,1,1,0,0,1,8,1,4,6,6,2,2
경기도 양주시 남면 신암리,4163032022,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,5,0,0,1,1,2,2
충청남도 당진시 송악읍 가교리,4427025322,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,13,71,12,1,0,0,0
충청남도 당진시 송악읍 방계리,4427025323,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,0,4,38,5,0,0,0,0
충청남도 당진시 송악읍 본당리,4427025324,-,-,-,-,-,-,0,1,2,1,0,3,4,1,0,0,1,12,77,20,5,1,0,0
