allcolluvm_Layer_Area,alluvm_Layer_Area,bjd_Nm,colluvm_Layer_Area,diluvm_Layer_Area,etc_Area,residum_Layer_Area,stdg_Cd
71,50,경기도 화성시 서신면 홍법리,5,0,0,164,4159035027
50,163,경기도 화성시 서신면 매화리,17,7,22,108,4159035029
93,144,경기도 화성시 서신면 용두리,6,0,4,213,4159035030
75,81,경기도 화성시 서신면 백미리,10,0,12,191,4159035032
1301,857,경기도 화성시 팔탄면,77,14,220,2624,4159036000
100,25,경기도 화성시 팔탄면 창곡리,11,2,0,191,4159036022
73,70,경기도 화성시 팔탄면 기천리,7,0,46,289,4159036023
119,104,경기도 화성시 팔탄면 구장리,1,0,8,272,4159036025
136,50,경기도 화성시 팔탄면 율암리,18,0,25,310,4159036026
79,4,경기도 화성시 팔탄면 덕천리,4,0,8,181,4159036028
8,33,전라남도 순천시 낙안면 평촌리,47,0,3,0,4615038029
51,22,전라남도 구례군 마산면 황전리,165,1,21,1373,4673034024
36,1,전라남도 구례군 마산면 갑산리,63,123,3,30,4673034025
266,353,전라남도 구례군 광의면,628,190,88,1840,4673035000
8,55,전라남도 구례군 광의면 연파리,31,7,9,8,4673035021
10,124,전라남도 구례군 광의면 대산리,0,19,14,0,4673035023
57,90,전라남도 구례군 광의면 지천리,9,105,15,22,4673035024
32,21,전라남도 구례군 광의면 대전리,81,0,3,66,4673035026
64,33,전라남도 구례군 광의면 온당리,187,0,7,371,4673035027
299,517,전라남도 구례군 용방면,338,66,69,1172,4673036000
26,69,전라남도 구례군 용방면 신지리,1,33,16,22,4673036022
113,77,경상남도 창녕군 영산면 신제리,1,0,60,192,4874038027
33,303,경상남도 창녕군 영산면 월령리,0,0,20,69,4874038028
793,465,경상남도 창녕군 장마면,29,0,159,1548,4874039000
24,107,경상남도 창녕군 장마면 강리,0,0,17,43,4874039021
9,43,경상북도 영천시 고경면 창상리,4,66,15,10,4723038023
90,39,경상북도 영천시 고경면 대의리,14,2,15,294,4723038024
152,0,경상북도 영천시 고경면 오류리,9,0,15,456,4723038026
98,1,경상북도 영천시 고경면 고도리,9,0,5,328,4723038027
192,61,경상북도 영천시 고경면 용전리,32,18,22,570,4723038029
92,6,경상북도 영천시 고경면 상리리,9,21,8,188,4723038031
140,0,경상북도 영천시 고경면 학리,8,0,3,375,4723038032
74,0,경상북도 영천시 북안면 원당리,4,0,2,212,4723039039
24,39,경상남도 사천시 정동면 수청리,0,0,12,150,4824031025
26,52,경상남도 사천시 사천읍 선인리,0,0,0,42,4824025021
12,13,경상남도 사천시 사천읍 정의리,0,0,0,19,4824025022
4,143,경상남도 사천시 사천읍 수석리,0,0,2,17,4824025024
21,71,경상남도 사천시 사천읍 사주리,0,0,9,30,4824025025
0,170,경상남도 사천시 사천읍 중선리,0,0,14,0,4824025027
170,31,경상남도 사천시 사천읍 구암리,5,0,7,469,4824025028
44,0,경상남도 사천시 사천읍 금곡리,14,0,5,252,4824025030
136,42,경상남도 사천시 사천읍 두량리,19,0,50,432,4824025031
66,44,경상남도 사천시 정동면 예수리,1,0,16,138,4824031022
48,54,경상남도 사천시 정동면 화암리,0,0,1,117,4824031023
564,629,경상남도 사천시 사천읍,57,0,107,1618,4824025000
48,35,경상북도 영천시 청통면 신학리,0,37,8,49,4723031029
130,27,경상북도 영천시 청통면 애련리,17,0,10,324,4723031031
40,23,경상북도 영천시 청통면 계포리,4,29,9,49,4723031032
82,47,경상북도 영천시 청통면 신원리,129,0,18,818,4723031034
969,619,경상북도 영천시 신녕면,559,34,205,5695,4723032000
109,49,경상북도 영천시 신녕면 치산리,245,0,33,1575,4723032021
142,1,경상북도 영천시 신녕면 화서리,6,0,6,490,4723032023
52,102,경상북도 영천시 신녕면 왕산리,105,0,41,686,4723032025
25,97,경상북도 영천시 임고면 우항리,4,97,30,59,4723037031
11,3,경상북도 영천시 자양면 용산리,127,5,106,832,4723036025
30,0,경상북도 영천시 자양면 성곡리,45,5,184,393,4723036028
37,0,경상남도 김해시 진영읍 하계리,59,0,3,222,4825025022
16,4,경상남도 김해시 진영읍 방동리,21,0,2,52,4825025023
527,352,전라남도 보성군 미력면,244,0,143,1806,4678032000
44,114,전라남도 보성군 미력면 도개리,7,0,18,147,4678032021
87,6,전라남도 보성군 미력면 미력리,43,0,1,399,4678032022
76,48,전라남도 보성군 미력면 용정리,21,0,26,246,4678032024
66,50,전라남도 보성군 미력면 덕림리,21,0,30,154,4678032025
75,39,전라남도 보성군 미력면 초당리,31,0,3,184,4678032027
755,151,전라남도 보성군 겸백면,566,32,222,3031,4678033000
107,12,전라남도 보성군 겸백면 운림리,61,0,60,322,4678033022
82,3,전라남도 보성군 겸백면 은덕리,70,0,9,366,4678033023
394,238,경상북도 포항시남구 대송면,173,0,71,2387,4711131000
16,33,경상북도 포항시남구 대송면 공수리,0,0,1,29,4711131021
48,0,경상북도 포항시남구 대송면 홍계리,14,0,1,284,4711131023
4,0,경상북도 포항시남구 대송면 산여리,86,0,7,709,4711131024
0,6,경상북도 포항시북구 남빈동,0,0,0,0,4711310300
0,6,경상북도 포항시북구 상원동,0,0,0,0,4711310400
17,18,경상북도 포항시남구 오천읍 항사리,134,0,76,1669,4711125623
19,44,경상북도 포항시남구 장기면 대진리,10,0,7,67,4711133035
23,27,경상북도 포항시남구 장기면 학계리,7,0,4,119,4711133037
48,34,경상북도 포항시남구 장기면 학곡리,22,0,6,220,4711133038
43,6,경상북도 포항시남구 장기면 창지리,25,0,3,199,4711133040
4,0,전라남도 영광군 낙월면 하낙월리,1,0,0,51,4687038022
1,0,전라남도 영광군 낙월면 임병리,1,0,8,27,4687038023
8,0,전라남도 영광군 낙월면 월촌리,54,0,3,109,4687038025
8,0,전라남도 영광군 낙월면 신기리,43,0,5,150,4687038026
0,0,전라남도 영광군 낙월면 석만리,3,0,2,48,4687038028
40,20,경기도 광주시 쌍령동,30,0,13,230,4161010200
97,44,경기도 광주시 송정동,39,0,12,315,4161010300
24,38,경기도 광주시 회덕동,24,0,3,261,4161010400
34,34,경기도 광주시 목현동,81,0,1,736,4161010600
59,16,경기도 광주시 삼동,38,0,1,311,4161010700
58,18,경기도 광주시 직동,38,0,0,482,4161010900
76,86,경기도 광주시 태전동,30,0,16,279,4161011000
108,87,경기도 광주시 장지동,3,0,20,139,4161011100
51,35,경기도 광주시 목동,75,0,3,436,4161011300
87,2,경상북도 영주시 안정면 옹암리,0,0,0,110,4721035030
42,40,경상북도 영천시 녹전동,5,81,18,74,4723012100
166,15,경상북도 영천시 도림동,6,18,15,370,4723012200
120,24,경상북도 영주시 안정면 동촌리,6,2,7,154,4721035034
152,53,경상북도 영주시 장수면 소룡리,0,0,7,206,4721034026
170,58,경상북도 영주시 장수면 호문리,0,0,8,245,4721034027
77,4,경상북도 영주시 장수면 파지리,0,0,0,121,4721034028
38,48,경상북도 영주시 안정면 신전리,6,0,8,37,4721035021
102,8,경상북도 영주시 안정면 봉암리,16,0,1,146,4721035023
174,13,경상북도 영주시 안정면 용산리,101,0,0,325,4721035024
107,37,경상북도 영주시 안정면 묵리,0,0,4,194,4721035026
100,90,경상북도 영주시 안정면 내줄리,7,0,20,130,4721035027
109,48,전라남도 보성군 겸백면 남양리,38,20,21,237,4678033027
58,2,전라남도 보성군 겸백면 사곡리,56,6,3,232,4678033028
15,44,경상북도 청송군 청송읍 월막리,47,0,23,231,4775025021
903,609,경기도 성남시수정구,162,135,109,2621,4113100000
55,0,경기도 성남시수정구 신흥동,1,0,2,120,4113110100
48,20,경기도 성남시수정구 수진동,0,0,3,55,4113110300
38,0,경기도 성남시수정구 단대동,0,0,0,42,4113110400
22,0,경기도 성남시수정구 양지동,0,0,0,104,4113110600
137,50,경기도 성남시수정구 복정동,8,0,11,173,4113110700
10,55,경기도 성남시수정구 신촌동,0,0,5,10,4113110900
12,64,경기도 성남시수정구 오야동,7,0,10,25,4113111000
93,32,경상북도 포항시남구 동해면 금광리,24,0,3,254,4711132023
29,0,경상북도 포항시남구 동해면 석리,25,0,1,162,4711132025
29,7,경상북도 포항시남구 동해면 임곡리,29,0,0,129,4711132026
